cert,name,holding_co,regulator,state,assets_k,offices,investment,service,active,website,cra_page_try,hq,cra_email,main_phone,source_page,harvest_status
17393,German American Bank,GERMAN AMERICAN BCORP INC,FDIC,Indiana,6144423,96,Low Satisfactory,Low Satisfactory,1,www.germanamerican.com,https://germanamerican.com/cra,"711 Main St, Jasper Indiana 47546",,,,HTTPError
24156,Ocean Bank,OCEAN BANKSHARES INC,FDIC,Florida,5986172,25,Low Satisfactory,Low Satisfactory,1,www.oceanbank.com,https://oceanbank.com/cra,"780 Nw 42nd Ave, Miami Florida 33126",,(305) 569-5000,https://www.oceanbank.com,HTTPError
58228,b1BANK,BUSINESS FIRST BANCSHARES INC,FDIC,Louisiana,5531431,63,Low Satisfactory,Low Satisfactory,1,www.b1bank.com,https://b1bank.com/cra,"500 Laurel St, Baton Rouge Louisiana 70801",,(877) 614-7600,https://www.b1bank.com,HTTPError
29546,Great Southern Bank,GREAT SOUTHERN BCORP INC,FDIC,Missouri,5723662,108,High Satisfactory,Low Satisfactory,1,www.greatsouthernbank.com,https://greatsouthernbank.com/cra,"14309 State Highway 13, Reeds Spring Missouri 65737",,,,HTTPError
57919,ConnectOne Bank,CONNECTONE BCORP INC,FDIC,New Jersey,14013611,57,Outstanding,Low Satisfactory,1,www.connectonebank.com,https://connectonebank.com/cra,"301 Sylvan Ave, Englewood Cliffs New Jersey 07632",,(844) 266-2548,https://www.connectonebank.com,HTTPError
5903,BankPlus,BANCPLUS CORP,FDIC,Mississippi,7790270,74,Outstanding,Low Satisfactory,1,http://www.bankplus.net,https://bankplus.net/cra,"202 E Jackson St, Belzoni Mississippi 39038",,(888) 111-7587,https://www.bankplus.net,HTTPError
34294,CFG Bank,CAPITAL FUNDING BCORP INC,FDIC,Maryland,5027779,3,High Satisfactory,Low Satisfactory,1,www.cfg.bank,https://cfg.bank/cra,"11 W Ridgely Rd, Lutherville Maryland 21093",,(410) 823-0500,https://www.cfg.bank,HTTPError
10248,First International Bank & Trust,WATFORD CITY BANCSHARES INC,FDIC,North Dakota,4876751,28,Low Satisfactory,Low Satisfactory,1,www.fibt.com,https://fibt.com/cra,"100 N Main St, Watford City North Dakota 58854",,(800) 359-8092,https://www.fibt.com,HTTPError
19416,CTBC Bank Corp. (USA),CTBC FINANCIAL HOLDING CO LTD,FDIC,California,4816873,20,Substantial Non Complianc,Substantial Non Complianc,1,http://www.ctbcbankusa.com,https://ctbcbankusa.com/cra,"801 S Figueroa St, Los Angeles California 90017",,(793) 982-1793,https://www.ctbcbankusa.com,HTTPError
26647,Firstrust Savings Bank,,FDIC,Pennsylvania,5122806,18,Low Satisfactory,Low Satisfactory,1,www.firstrust.com,https://firstrust.com/cra,"15 E Ridge Pike, Conshohocken Pennsylvania 19428",,(800) 220-2265,https://www.firstrust.com,HTTPError
15359,Southern Bank and Trust Company,SOUTHERN BANCSHARES N C INC,FDIC,North Carolina,4758607,57,High Satisfactory,Low Satisfactory,1,www.southernbank.com,https://southernbank.com/cra,"100 N Center St, Mount Olive North Carolina 28365",,,,HTTPError
8879,Community Bank of Mississippi,COMMUNITY BANCSHARES MS EMPLOYEE STK OWNERSHIP PLAN,FDIC,Mississippi,4608467,57,Low Satisfactory,High Satisfactory,1,www.communitybank.net,https://communitybank.net/cra,"1905 Community Bank Way, Flowood Mississippi 39232",cra-cbom@communitybank.net,(866) 217-3305,https://www.communitybank.net/community-reinvestment-act,ok
20504,Ameris Bank,AMERIS BCORP,FDIC,Georgia,23591556,177,High Satisfactory,Low Satisfactory,1,http://www.amerisbank.com,https://amerisbank.com/cra,"3490 Piedmont Rd Ne, Atlanta Georgia 30305",,,,HTTPError
16068,Apple Bank,APPLE FINANCIAL HOLDINGS INC,FDIC,New York,16888361,79,Low Satisfactory,High Satisfactory,1,www.applebank.com,https://applebank.com/cra,"122 E 42nd St, New York New York 10168",,,,HTTPError
4360,Horizon Bank,HORIZON BCORP INC,FDIC,Indiana,7621571,79,Low Satisfactory,High Satisfactory,1,www.horizonbank.com,https://horizonbank.com/cra,"515 Franklin St, Michigan City Indiana 46360",,,,HTTPError
609,Tompkins Bank & Trust,TOMPKINS FINANCIAL CORP,FDIC,New York,7842153,59,Low Satisfactory,High Satisfactory,1,www.tompkinsbank.com,https://tompkinsbank.com/cra,"118 E Seneca St, Ithaca New York 14850",,(888) 273-3210,https://www.tompkinsbank.com,HTTPError
3657,First American Bank,FIRST AMERICAN BANK CORP,FDIC,Illinois,7074673,58,Low Satisfactory,Low Satisfactory,1,www.firstambank.com,https://firstambank.com/cra,"700 Busse Rd, Elk Grove Village Illinois 60007",,,,HTTPError
1536,Bank of Stockton,1867 WESTERN FINANCIAL CORP,FDIC,California,4320510,21,Low Satisfactory,High Satisfactory,1,www.bankofstockton.com,https://bankofstockton.com/cra,"301 E Miner Ave, Stockton California 95202",,(209) 929-1226,https://www.bankofstockton.com,ok
29209,NexBank,SLHC TRUST THE,FDIC,Texas,13943020,2,High Satisfactory,Low Satisfactory,1,www.nexbank.com,https://nexbank.com/cra,"2515 Mckinney Ave, Dallas Texas 75201",,,,HTTPError
32779,Bank of Marin,BANK OF MARIN BCORP,FDIC,California,4036176,29,Low Satisfactory,Low Satisfactory,1,www.bankofmarin.com,https://bankofmarin.com/cra,"504 Redwood Blvd, Novato California 94947",,(866) 626-6004,https://www.bankofmarin.com,HTTPError
110,Bank OZK,,FDIC,Arkansas,41606548,271,Outstanding,Low Satisfactory,1,http://www.ozk.com,https://ozk.com/cra,"18000 Cantrell Rd, Little Rock Arkansas 72223",,(800) 274-4482,https://www.ozk.com,HTTPError
90250,Institution for Savings in Newburyport and Its Vicinity,IFS 1820 BCORP MHC,FDIC,Massachusetts,5085006,13,Outstanding,Low Satisfactory,1,www.institutionforsavings.com,https://institutionforsavings.com/cra,"93 State St, Newburyport Massachusetts 01950",,(978) 462-3106,https://www.institutionforsavings.com,HTTPError
11578,Burke & Herbert Bank & Trust Company,BURKE&HERBERT FINL SERVICES,FDIC,Virginia,3563307,106,Low Satisfactory,High Satisfactory,1,www.burkeandherbertbank.com,https://burkeandherbertbank.com/cra,"100 S Fairfax St, Alexandria Virginia 22314",,(855) 571-5824,https://www.burkeandherbertbank.com,HTTPError
23296,Salem Five Cents Savings Bank,SALEM FIVE BCORP,FDIC,Massachusetts,7117552,34,Low Satisfactory,High Satisfactory,1,http://www.salemfive.com,https://salemfive.com/cra,"71 Washington St, Salem Massachusetts 01970",,(800) 850-5000,https://www.salemfive.com,HTTPError
90211,Hingham Institution for Savings,,FDIC,Massachusetts,4449837,9,High Satisfactory,Low Satisfactory,1,www.hinghamsavings.com,https://hinghamsavings.com/cra,"55 Main St, Hingham Massachusetts 02043",,(781) 749-2200,https://www.hinghamsavings.com,HTTPError
58596,Carter Bank & Trust,CARTER BANKSHARES INC,FDIC,Virginia,4446729,66,Low Satisfactory,High Satisfactory,1,www.carterbank.com,https://carterbank.com/cra,"4 Commonwealth Blvd E, Martinsville Virginia 24112",,,,HTTPError
25103,City Bank,SOUTH PLAINS FINANCIAL INC,FDIC,Texas,4184122,36,Low Satisfactory,Low Satisfactory,1,www.city.bank,https://city.bank/cra,"5219 City Bank Pkwy, Lubbock Texas 79407",,,,HTTPError
22134,Cache Valley Bank,CACHE VALLEY BANKING CO,FDIC,Utah,3281738,25,High Satisfactory,Low Satisfactory,1,cachevalleybank.com,https://cachevalleybank.com/cra,"101 N Main St, Logan Utah 84321",,,,HTTPError
11507,The Fidelity Bank,FIDELITY BANCSHARES N C INC,FDIC,North Carolina,4263695,57,Low Satisfactory,Low Satisfactory,1,www.fidelitybanknc.com,https://fidelitybanknc.com/cra,"100 S Main St, Fuquay Varina North Carolina 27526",,(800) 816-9608,https://www.fidelitybanknc.com,HTTPError
8468,Exchange Bank,FRANK P DOYLE TRUST ARTICLE IX,FDIC,California,3304145,21,Low Satisfactory,Low Satisfactory,1,www.exchangebank.com,https://exchangebank.com/cra,"545 4th St, Santa Rosa California 95401",,(707) 524-3000,https://www.exchangebank.com,HTTPError
25679,International Bank of Commerce,INTERNATIONAL BANCSHARES CORP,FDIC,Texas,3958855,41,Outstanding,Low Satisfactory,1,www.ibc.com,https://ibc.com/cra,"1600 Fm 802, Brownsville Texas 78521",,(956) 722-7611,https://www.ibc.com,HTTPError
14028,First Guaranty Bank,SMITH&HOOD HOLDING CO L L C,FDIC,Louisiana,3794968,30,Low Satisfactory,Low Satisfactory,1,www.fgb.net,https://fgb.net/cra,"400 E Thomas St, Hammond Louisiana 70401",,,,HTTPError
22257,Colony Bank,COLONY BANKCORP INC,FDIC,Georgia,3091464,33,Low Satisfactory,High Satisfactory,1,colony.bank,https://colony.bank/cra,"302 S Main St, Fitzgerald Georgia 31750",,(800) 873-6404,https://colony.bank,HTTPError
4705,Security Bank of Kansas City,VALLEY VIEW BANCSHARES INC,FDIC,Kansas,3613944,34,Low Satisfactory,High Satisfactory,1,www.securitybankkc.com,https://securitybankkc.com/cra,"701 Minnesota Ave, Kansas City Kansas 66101",,(913) 281-3165,https://www.securitybankkc.com,HTTPError
26725,Banco do Brasil Americas,BANCO DO BRASIL SA,FDIC,Florida,3035260,4,High Satisfactory,Low Satisfactory,1,http://www.bbamericas.com,https://bbamericas.com/cra,"1221 Brickell Ave, Miami Florida 33131",,,,HTTPError
57368,Bankwell Bank,BANKWELL FINANCIAL GROUP INC,FDIC,Connecticut,3230601,11,High Satisfactory,Low Satisfactory,1,www.mybankwell.com,https://mybankwell.com/cra,"156 Cherry St, New Canaan Connecticut 06840",,,,HTTPError
11666,D. L. Evans Bank,D L EVANS BCORP,FDIC,Idaho,3071088,41,Low Satisfactory,High Satisfactory,1,dlevans.com,https://dlevans.com/cra,"375 N Overland Ave, Burley Idaho 83318",,(208) 678-8615,https://dlevans.com,HTTPError
35361,Five Star Bank,FIVE STAR BCORP,FDIC,California,3476132,10,High Satisfactory,Low Satisfactory,1,www.fivestarbank.com,https://fivestarbank.com/cra,"2240 Douglas Blvd, Roseville California 95661",,(916) 626-5012,https://www.fivestarbank.com,HTTPError
18266,Northern Bank & Trust Company,NORTHERN BCORP INC,FDIC,Massachusetts,2986210,14,High Satisfactory,Low Satisfactory,1,www.nbtc.com,https://nbtc.com/cra,"275 Mishawum Rd, Woburn Massachusetts 01801",,(800) 273-6908,https://www.nbtc.com,HTTPError
19008,Parkway Bank and Trust Company,PARKWAY BCORP INC,FDIC,Illinois,3435859,27,Low Satisfactory,Low Satisfactory,1,www.parkwaybank.com,https://parkwaybank.com/cra,"4800 N Harlem Ave, Harwood Heights Illinois 60706",,(888) 498-9800,https://www.parkwaybank.com,HTTPError
30401,Penn Community Bank,PENN CMTY MUTUAL HOLDINGS INC,FDIC,Pennsylvania,2934068,22,Outstanding,Low Satisfactory,1,www.penncommunitybank.com,https://penncommunitybank.com/cra,"3969 Durham Rd, Doylestown Pennsylvania 18902",,,,HTTPError
32296,Union Savings Bank,,FDIC,Ohio,3391585,39,High Satisfactory,Low Satisfactory,1,WWW.UNIONSAVINGSBANK.COM,https://WWW.UNIONSAVINGSBANK.COM/cra,"8805 Governors Hill Dr, Cincinnati Ohio 45249",,(815) 235-0800,https://WWW.UNIONSAVINGSBANK.COM,HTTPError
57463,PCB Bank,PCB BCORP,FDIC,California,2854271,19,Low Satisfactory,High Satisfactory,1,www.mypcbbank.com,https://mypcbbank.com/cra,"3701 Wilshire Blvd, Los Angeles California 90010",,,,HTTPError
32974,Gulf Coast Bank and Trust Company,,FDIC,Louisiana,2927905,40,Low Satisfactory,Low Satisfactory,1,www.gulfbank.com,https://gulfbank.com/cra,"200 Saint Charles Ave, New Orleans Louisiana 70130",,(504) 561-6124,https://www.gulfbank.com,HTTPError
34533,First Community Bank,FIRST COMMUNITY BANCSHARES INC,FDIC,Arkansas,2757543,35,High Satisfactory,Low Satisfactory,1,www.firstcommunity.net,https://firstcommunity.net/cra,"1325 Harrison St, Batesville Arkansas 72501",,(888) 780-8391,https://www.firstcommunity.net,HTTPError
18429,Morton Community Bank,HOMETOWN CMTY BCORP EMPLOYEE STK OWNERSHIP PLAN&TR,FDIC,Illinois,5467281,49,High Satisfactory,Low Satisfactory,1,www.hometownbanks.com,https://hometownbanks.com/cra,"721 W Jackson St, Morton Illinois 61550",,,,HTTPError
57417,Commercial Bank of California,CBC BCORP,FDIC,California,3846280,10,Low Satisfactory,High Satisfactory,1,http://www.cbcal.com,https://cbcal.com/cra,"19752 Macarthur Blvd, Irvine California 92612",,,,HTTPError
34618,"Macatawa Bank, National Association",WINTRUST FINANCIAL CORP,FDIC,Michigan,2733572,28,High Satisfactory,Low Satisfactory,1,www.macatawabank.com,https://macatawabank.com/cra,"10753 Macatawa Dr, Holland Michigan 49424",,,,HTTPError
17514,Banterra Bank,BANTERRA CORP,FDIC,Illinois,2726883,43,Low Satisfactory,Low Satisfactory,1,www.banterra.bank,https://banterra.bank/cra,"3201 Banterra Dr, Marion Illinois 62959",,(866) 226-8377,https://www.banterra.bank,HTTPError
19333,Republic Bank of Chicago,REPUBLIC BCORP CO,FDIC,Illinois,2681738,20,Low Satisfactory,High Satisfactory,1,www.republicebank.com,https://republicebank.com/cra,"2221 Camden Ct, Oak Brook Illinois 60523",,(800) 526-9127,https://www.republicebank.com/cra,ok
90215,Avidia Bank,AVIDIA BCORP INC,FDIC,Massachusetts,2662177,10,Low Satisfactory,Low Satisfactory,1,www.avidiabank.com,https://avidiabank.com/cra,"42 Main St, Hudson Massachusetts 01749",,(800) 508-2265,https://www.avidiabank.com,HTTPError
57633,1st Security Bank of Washington,FS BCORP INC,FDIC,Washington,2632273,31,Outstanding,Low Satisfactory,1,WWW.FSBWA.com,https://WWW.FSBWA.com/cra,"6920 220th St Sw, Mountlake Terrace Washington 98043",,(800) 683-0973,https://WWW.FSBWA.com,HTTPError
25093,Habib American Bank,MAHAM BETEILIGUNGSGESELLSCHAFT AG,FDIC,New York,2856490,6,Low Satisfactory,Low Satisfactory,1,www.hab.bank,https://hab.bank/cra,"150 East 45th Street, New York New York 10017",,(212) 532-4444,https://www.hab.bank,HTTPError
15091,Lake Ridge Bank,LAKE RIDGE BCORP INC,FDIC,Wisconsin,3178632,20,High Satisfactory,Low Satisfactory,1,www.lakeridge.bank,https://lakeridge.bank/cra,"8301 University Ave, Middleton Wisconsin 53562",,(608) 223-3000,https://www.lakeridge.bank/cra,HTTPError
21031,The Bank of Tampa,TAMPA BAY BANKING CO,FDIC,Florida,3024877,13,Low Satisfactory,High Satisfactory,1,www.bankoftampa.com,https://bankoftampa.com/cra,"601 Bayshore Blvd, Tampa Florida 33606",,(813) 872-1200,https://www.bankoftampa.com,HTTPError
20164,Sunwest Bank,H BCORP LLC,FDIC,Utah,2974047,9,Low Satisfactory,High Satisfactory,1,www.sunwestbank.com,https://sunwestbank.com/cra,"10011 S Centennial Pkwy, Sandy Utah 84070",,,,HTTPError
90290,UniBank for Savings,UFS BCORP,FDIC,Massachusetts,2520940,15,High Satisfactory,Low Satisfactory,1,www.unibank.com,https://unibank.com/cra,"49 Church St, Whitinsville Massachusetts 01588",,(800) 578-4270,https://www.unibank.com,HTTPError
34120,Bank of Ann Arbor,ARBOR BCORP INC,FDIC,Michigan,3150538,18,Low Satisfactory,High Satisfactory,1,www.bankofannarbor.com,https://bankofannarbor.com/cra,"125 S 5th Ave, Ann Arbor Michigan 48104",,,,HTTPError
20884,Bank of Guam,BANKGUAM HOLDING CO,FDIC,Guam,2563933,16,Low Satisfactory,Low Satisfactory,1,www.bankofguam.com,https://bankofguam.com/cra,"111 W Chalan Santo Papa, Hagatna Guam 96910",,,,HTTPError
1617,The Bank of Missouri,RELIABLE CMTY BANCSHARES INC,FDIC,Missouri,2963315,32,Low Satisfactory,High Satisfactory,1,WWW.BANKOFMISSOURI.COM,https://WWW.BANKOFMISSOURI.COM/cra,"916 N Kings Hwy, Perryville Missouri 63775",,,,HTTPError
19573,Lakeside Bank,LAKESIDE BCORP INC,FDIC,Illinois,2559362,11,Low Satisfactory,Low Satisfactory,1,http://WWW.LAKESIDEBANK.COM,https://WWW.LAKESIDEBANK.COM/cra,"55 W Wacker Dr, Chicago Illinois 60601",,,,HTTPError
33503,Unity Bank,UNITY BCORP INC,FDIC,New Jersey,2431532,22,Low Satisfactory,High Satisfactory,1,www.unitybank.com,https://unitybank.com/cra,"64 Old Highway 22, Clinton New Jersey 08809",,(800) 618-2265,https://www.unitybank.com/cra,HTTPError
19899,KS StateBank,MANHATTAN BANKING CORP,FDIC,Kansas,2437059,6,Low Satisfactory,High Satisfactory,1,http://ksstate.bank,https://ksstate.bank/cra,"1010 Westloop Pl, Manhattan Kansas 66502",,(800) 588-6805,https://ksstate.bank,ok
698,Wayne Bank,NORWOOD FINANCIAL CORP,FDIC,Pennsylvania,2366498,33,High Satisfactory,Low Satisfactory,1,Wayne.Bank,https://Wayne.Bank/cra,"717 Main St, Honesdale Pennsylvania 18431",,,,HTTPError
33005,FCB Banks,FIRST CO BCORP INC,FDIC,Illinois,2384266,20,Low Satisfactory,High Satisfactory,1,www.fcbbanks.com,https://fcbbanks.com/cra,"800 Belt Line Rd, Collinsville Illinois 62234",,(866) 323-4322,https://www.fcbbanks.com,HTTPError
34980,Red River Bank,RED RIVER BANCSHARES INC,FDIC,Louisiana,3166822,28,Low Satisfactory,High Satisfactory,1,http://www.RedRiverBank.net,https://RedRiverBank.net/cra,"1412 Centre Ct, Alexandria Louisiana 71301",,,,ok
7506,ACNB Bank,ACNB CORP,FDIC,Pennsylvania,2403350,33,Low Satisfactory,Low Satisfactory,1,http://www.acnb.com,https://acnb.com/cra,"16 Lincoln Sq, Gettysburg Pennsylvania 17325",,(888) 334-2262,https://www.acnb.com,HTTPError
57510,Avidbank,AVIDBANK HOLDINGS INC,FDIC,California,2298340,3,Low Satisfactory,Low Satisfactory,1,www.avidbank.com,https://avidbank.com/cra,"1732 N 1st St, San Jose California 95112",,,,HTTPError
28679,North Shore Bank,,FDIC,Wisconsin,2569494,44,Low Satisfactory,High Satisfactory,1,www.northshorebank.com,https://northshorebank.com/cra,"15700 W Bluemound Rd, Brookfield Wisconsin 53005",,,,HTTPError
33216,Northrim Bank,NORTHRIM BCORP INC,FDIC,Alaska,2564795,21,High Satisfactory,Low Satisfactory,1,https://www.northrim.com,https://northrim.com/cra,"3111 C St, Anchorage Alaska 99503",,,,ok
16470,Jefferson Bank,JEFFERSON BANCSHARES INC,FDIC,Texas,2802550,13,Low Satisfactory,Outstanding,1,www.jeffersonbank.com,https://jeffersonbank.com/cra,"1900 Broadway, Suite 100, San Antonio Texas 78215",,(210) 736-7600,https://www.jeffersonbank.com,HTTPError
12769,First United Bank,PLAINS BCORP INC,FDIC,Texas,2195446,25,High Satisfactory,Low Satisfactory,1,www.firstunited.bank,https://firstunited.bank/cra,"201 N Broadway St, Dimmitt Texas 79027",,(855) 382-7827,https://www.firstunited.bank,HTTPError
34888,Parke Bank,PARKE BCORP INC,FDIC,New Jersey,2155246,8,Low Satisfactory,Low Satisfactory,1,www.parkebank.com,https://parkebank.com/cra,"601 Delsea Dr, Sewell New Jersey 08080",,(866) 727-5325,https://www.parkebank.com,HTTPError
172,United Bank,UNITED BK EMPLOYEE STK OWNERSHIP PLAN TR,FDIC,Georgia,2120294,17,Low Satisfactory,Outstanding,1,www.accessunited.com,https://accessunited.com/cra,"685 Griffin St, Zebulon Georgia 30295",,,,HTTPError
28513,"WaterStone Bank, SSB",WATERSTONE FINANCIAL INC,FDIC,Wisconsin,2241040,16,High Satisfactory,Low Satisfactory,1,www.wsbonline.com,https://wsbonline.com/cra,"11200 W Plank Ct, Wauwatosa Wisconsin 53226",,,,ok
6158,Peoples Bank,PEOPLES BCORP,FDIC,Washington,2434624,23,High Satisfactory,Low Satisfactory,1,www.peoplesbank-wa.com,https://peoplesbank-wa.com/cra,"3100 Woburn St, Bellingham Washington 98226",,(800) 584-8859,https://www.peoplesbank-wa.com/cra,HTTPError
23992,Country Bank for Savings,,FDIC,Massachusetts,2073726,15,High Satisfactory,Low Satisfactory,1,www.countrybank.com,https://countrybank.com/cra,"155 West St, Ware Massachusetts 01082",,(800) 322-8233,https://www.countrybank.com,HTTPError
18198,Ion Bank,ION FINANCIAL MHC INC,FDIC,Connecticut,2083933,37,Low Satisfactory,High Satisfactory,1,www.ionbank.com,https://ionbank.com/cra,"251 Church St, Naugatuck Connecticut 06770",,(203) 729-4442,https://www.ionbank.com,HTTPError
29523,Peoples Bank,FINWARD BCORP,FDIC,Indiana,2072545,24,Low Satisfactory,High Satisfactory,1,http://www.ibankpeoples.com,https://ibankpeoples.com/cra,"9204 Columbia Ave, Munster Indiana 46321",,(866) 301-8660,https://www.ibankpeoples.com,HTTPError
58309,American Momentum Bank,ADAM CORP GROUP THE,FDIC,Texas,2579369,31,High Satisfactory,Low Satisfactory,1,www.americanmomentum.bank,https://americanmomentum.bank/cra,"1 Momentum Blvd, College Station Texas 77845",,(866) 530-2265,https://www.americanmomentum.bank,HTTPError
17470,First Bank Chicago,FIRST BANK CHICAGO CORP,FDIC,Illinois,2024099,4,Low Satisfactory,Outstanding,1,www.firstbankchicago.com,https://firstbankchicago.com/cra,"1835 1st St, Highland Park Illinois 60035",,,,HTTPError
2315,Armstrong Bank,IRONHORSE FINANCIAL GROUP INC,FDIC,Oklahoma,2446898,29,High Satisfactory,Low Satisfactory,1,www.armstrong.bank,https://armstrong.bank/cra,"1215 W Okmulgee St, Muskogee Oklahoma 74401",,(888) 680-2655,https://www.armstrong.bank,HTTPError
7799,Citizens & Northern Bank,CITIZENS&NORTHERN CORP,FDIC,Pennsylvania,2311213,35,Low Satisfactory,Low Satisfactory,1,www.cnbankpa.com,https://cnbankpa.com/cra,"90 Main St, Wellsboro Pennsylvania 16901",,,,HTTPError
11112,Somerset Trust Company,SOMERSET TRUST HOLDING CO,FDIC,Pennsylvania,2315834,49,Low Satisfactory,High Satisfactory,1,somersettrust.com,https://somersettrust.com/cra,"151 W Main St, Somerset Pennsylvania 15501",,(814) 443-9200,https://somersettrust.com,HTTPError
1265,Cashmere Valley Bank,,FDIC,Washington,2008732,12,Low Satisfactory,High Satisfactory,1,www.cashmerevalleybank.com,https://cashmerevalleybank.com/cra,"117 Aplets Way, Cashmere Washington 98815",,,,HTTPError
28116,Yakima Federal Savings and Loan Association,,FDIC,Washington,1984560,10,High Satisfactory,Low Satisfactory,1,yakimafed.com,https://yakimafed.com/cra,"118 E Yakima Ave, Yakima Washington 98901",paul.crawford@yakimafed.com,(800) 331-3225,https://yakimafed.com,ok
28405,First Fed Bank,FIRST NORTHWEST BCORP,FDIC,Washington,2219706,14,Low Satisfactory,High Satisfactory,1,www.ourfirstfed.com,https://ourfirstfed.com/cra,"105 W 8th St, Port Angeles Washington 98362",,(800) 800-1577,https://www.ourfirstfed.com,HTTPError
14065,Vallant Bank,VALLANT FINANCIAL INC,FDIC,Georgia,2130759,36,Low Satisfactory,High Satisfactory,1,www.vallant.bank,https://vallant.bank/cra,"884 Elbert St, Elberton Georgia 30635",,(877) 759-7939,https://www.vallant.bank/cra,HTTPError
26336,The Village Bank,,FDIC,Massachusetts,1946483,11,Low Satisfactory,Low Satisfactory,1,www.village-bank.com,https://village-bank.com/cra,"320 Needham St, Newton Massachusetts 02464",,(617) 969-4300,https://www.village-bank.com/cra,HTTPError
26856,Falcon International Bank,FALCON BANCSHARES INC,FDIC,Texas,1975494,20,High Satisfactory,Low Satisfactory,1,www.falconbank.com,https://falconbank.com/cra,"7718 Mcpherson Rd Bldg F, Laredo Texas 78045",,(956) 718-2611,https://www.falconbank.com,HTTPError
58513,The Bank of Princeton,PRINCETON BCORP INC,FDIC,New Jersey,1916497,36,High Satisfactory,Low Satisfactory,1,WWW.THEBANKOFPRINCETON.COM,https://WWW.THEBANKOFPRINCETON.COM/cra,"183 Bayard Ln, Princeton New Jersey 08540",,,,HTTPError
28453,Timberland Bank,TIMBERLAND BCORP INC,FDIC,Washington,1906715,24,High Satisfactory,Low Satisfactory,1,http://www.timberlandbank.com,https://timberlandbank.com/cra,"624 Simpson Ave, Hoquiam Washington 98550",,(800) 562-8761,https://www.timberlandbank.com,HTTPError
18059,The Bank of Commerce,,FDIC,Idaho,2111141,17,Low Satisfactory,High Satisfactory,1,www.bofc.bank,https://bofc.bank/cra,"3113 S 25th E, Ammon Idaho 83406",,(208) 523-2020,https://www.bofc.bank,HTTPError
57591,West Coast Community Bank,WEST COAST COMMUNITY BCORP,FDIC,California,2650147,11,High Satisfactory,Low Satisfactory,1,www.wccb.com,https://wccb.com/cra,"75 River St, Santa Cruz California 95060",,,,ok
9123,Western State Bank,WESTERN ST AGENCY EMPLOYEE STK OWNERSHIP PLAN&TR,FDIC,North Dakota,2072686,10,Low Satisfactory,High Satisfactory,1,www.westernbanks.com,https://westernbanks.com/cra,"110 4th St Se, Devils Lake North Dakota 58301",,,,URLError
