cert,name,state,assets_k,investment,service,severity,decision,why,best_county,best_rank,branches_there,pe_finding,outcome
4360,Horizon Bank,Indiana,7621571,Low Satisfactory,High Satisfactory,one,OUT — TOKEN PRESENCE,1br in #34 Marion,Marion,34,1,,
34697,WEX Bank,Utah,7597943,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,1br in #37 Salt Lake,Salt Lake,37,1,,
16980,Bank of Colorado,Colorado,7572545,Low Satisfactory,High Satisfactory,one,OUT — TOKEN PRESENCE,2br in #4 Maricopa,Maricopa,4,2,,
29845,Premier Bank,Ohio,7423952,Low Satisfactory,Low Satisfactory,both,DEAD,closed institution,,,,,
24170,Hanmi Bank,California,7407990,Low Satisfactory,High Satisfactory,one,LOADED,already in the roster,,,,,
29012,Heritage Bank,Washington,7233406,High Satisfactory,Low Satisfactory,one,DEFER — SINGLE GAP,"#28 King, 6br",King,28,6,,
18203,United Bank,Connecticut,7197597,Low Satisfactory,Low Satisfactory,both,DEAD,closed institution,,,,,
23296,Salem Five Cents Savings Bank,Massachusetts,7117552,Low Satisfactory,High Satisfactory,one,DEFER — SINGLE GAP,"#53 Middlesex, 12br",Middlesex,53,12,,
3657,First American Bank,Illinois,7074673,Low Satisfactory,Low Satisfactory,both,LOADED,already in the roster,,,,,
33510,East Boston Savings Bank,Massachusetts,6619632,High Satisfactory,Low Satisfactory,one,DEAD,closed institution,,,,,
17393,German American Bank,Indiana,6144423,Low Satisfactory,Low Satisfactory,both,READ THE PE,"#21 Franklin, 15br, both gap",Franklin,21,15,"$3.9M institution-wide across 1,200 donations; no clean per-AA total found",needs a targeted read of the Franklin/Indianapolis AA section
24156,Ocean Bank,Florida,5986172,Low Satisfactory,Low Satisfactory,both,LOADED,already in the roster,,,,,
29546,Great Southern Bank,Missouri,5723662,High Satisfactory,Low Satisfactory,one,OUT — TOKEN PRESENCE,1br in #5 Dallas,Dallas,5,1,,
58228,b1BANK,Louisiana,5531431,Low Satisfactory,Low Satisfactory,both,READ THE PE,"#2 Harris, 4br, both gap",Harris,2,4,,
18429,Morton Community Bank,Illinois,5467281,High Satisfactory,Low Satisfactory,one,OUT — LOW NEED,best county ranks #179,Champaign,179,1,,
26647,Firstrust Savings Bank,Pennsylvania,5122806,Low Satisfactory,Low Satisfactory,both,LOADED,already in the roster,,,,,
90250,Institution for Savings in Newburyport and Its Vicinity,Massachusetts,5085006,Outstanding,Low Satisfactory,one,OUT — LOW NEED,best county ranks #123,Essex,123,13,,
34294,CFG Bank,Maryland,5027779,High Satisfactory,Low Satisfactory,one,OUT — TOKEN PRESENCE,1br in #68 Baltimore,Baltimore,68,1,,
10248,First International Bank & Trust,North Dakota,4876751,Low Satisfactory,Low Satisfactory,both,READ THE PE,"#4 Maricopa, 4br, both gap",Maricopa,4,4,,
19416,CTBC Bank Corp. (USA),California,4816873,Substantial Non Complianc,Substantial Non Complianc,crit,LOADED,already in the roster,,,,,
15359,Southern Bank and Trust Company,North Carolina,4758607,High Satisfactory,Low Satisfactory,one,OUT — TOKEN PRESENCE,1br in #75 Wake,Wake,75,1,,
8879,Community Bank of Mississippi,Mississippi,4608467,Low Satisfactory,High Satisfactory,one,OUT — TOKEN PRESENCE,1br in #35 Shelby,Shelby,35,1,,
90211,Hingham Institution for Savings,Massachusetts,4449837,High Satisfactory,Low Satisfactory,one,OUT — LOW NEED,best county ranks #121,Suffolk,121,1,,
58596,Carter Bank & Trust,Virginia,4446729,Low Satisfactory,High Satisfactory,one,OUT — TOKEN PRESENCE,1br in #44 Mecklenburg,Mecklenburg,44,1,,
1536,Bank of Stockton,California,4320510,Low Satisfactory,High Satisfactory,one,OUT — TOKEN PRESENCE,1br in #25 Sacramento,Sacramento,25,1,,
11507,The Fidelity Bank,North Carolina,4263695,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,1br in #44 Mecklenburg,Mecklenburg,44,1,,
25103,City Bank,Texas,4184122,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,2br in #2 Harris,Harris,2,2,,
15229,First Business Bank,Wisconsin,4082035,Outstanding,Low Satisfactory,one,OUT — TOKEN PRESENCE,1br in #34 Marion,Marion,34,1,,
32779,Bank of Marin,California,4036176,Low Satisfactory,Low Satisfactory,both,LOADED,already in the roster,,,,,
33440,Citizens First Bank,Florida,4013943,Substantial Non Complianc,,crit,DEAD,closed institution,,,,,
25679,International Bank of Commerce,Texas,3958855,Outstanding,Low Satisfactory,one,DEFER — SINGLE GAP,"#20 Hidalgo, 29br",Hidalgo,20,29,,
57417,Commercial Bank of California,California,3846280,Low Satisfactory,High Satisfactory,one,DEFER — SINGLE GAP,"#1 Los Angeles, 3br",Los Angeles,1,3,,
14028,First Guaranty Bank,Louisiana,3794968,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,1br in #5 Dallas,Dallas,5,1,,
34102,"Summit Community Bank, Inc",West Virginia,3620991,Low Satisfactory,High Satisfactory,one,DEAD,closed institution,,,,,
4705,Security Bank of Kansas City,Kansas,3613944,Low Satisfactory,High Satisfactory,one,DEFER — SINGLE GAP,"#78 Jackson, 6br",Jackson,78,6,,
11578,Burke & Herbert Bank & Trust Company,Virginia,3563307,Low Satisfactory,High Satisfactory,one,OUT — TOKEN PRESENCE,1br in #93 Montgomery,Montgomery,93,1,,
35361,Five Star Bank,California,3476132,High Satisfactory,Low Satisfactory,one,LOADED,already in the roster,,,,,
19008,Parkway Bank and Trust Company,Illinois,3435859,Low Satisfactory,Low Satisfactory,both,READ THE PE,"#3 Cook, 16br, both gap",Cook,3,16,"$7,000 in the Illinois AA (Cook/DuPage/Kane/Lake) — $27.1M of investments but almost no grants",$500 pool — not worth an earmark despite 16 Cook branches
32296,Union Savings Bank,Ohio,3391585,High Satisfactory,Low Satisfactory,one,DEFER — SINGLE GAP,"#21 Franklin, 6br",Franklin,21,6,,
8468,Exchange Bank,California,3304145,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,1br in #39 Santa Clara,Santa Clara,39,1,,
4537,Landmark Bank,Missouri,3290384,Low Satisfactory,High Satisfactory,one,DEAD,closed institution,,,,,
22134,Cache Valley Bank,Utah,3281738,High Satisfactory,Low Satisfactory,one,OUT — TOKEN PRESENCE,1br in #37 Salt Lake,Salt Lake,37,1,,
57368,Bankwell Bank,Connecticut,3230601,High Satisfactory,Low Satisfactory,one,OUT — TOKEN PRESENCE,1br in #6 Kings,Kings,6,1,,
15091,Lake Ridge Bank,Wisconsin,3178632,High Satisfactory,Low Satisfactory,one,OUT — LOW NEED,best county ranks #124,Dane,124,16,,
34980,Red River Bank,Louisiana,3166822,Low Satisfactory,High Satisfactory,one,OUT — NO RANKED COUNTY,footprint touches no county in the need index,,,,,
34120,Bank of Ann Arbor,Michigan,3150538,Low Satisfactory,High Satisfactory,one,OUT — TOKEN PRESENCE,1br in #17 Wayne,Wayne,17,1,,
22257,Colony Bank,Georgia,3091464,Low Satisfactory,High Satisfactory,one,OUT — TOKEN PRESENCE,1br in #38 Duval,Duval,38,1,,
11666,D. L. Evans Bank,Idaho,3071088,Low Satisfactory,High Satisfactory,one,OUT — TOKEN PRESENCE,1br in #37 Salt Lake,Salt Lake,37,1,,
26725,Banco do Brasil Americas,Florida,3035260,High Satisfactory,Low Satisfactory,one,LOADED,already in the roster,,,,,
21031,The Bank of Tampa,Florida,3024877,Low Satisfactory,High Satisfactory,one,DEFER — SINGLE GAP,"#19 Hillsborough, 8br",Hillsborough,19,8,,
18266,Northern Bank & Trust Company,Massachusetts,2986210,High Satisfactory,Low Satisfactory,one,DEFER — SINGLE GAP,"#53 Middlesex, 14br",Middlesex,53,14,,
20164,Sunwest Bank,Utah,2974047,Low Satisfactory,High Satisfactory,one,OUT — TOKEN PRESENCE,1br in #4 Maricopa,Maricopa,4,1,,
1617,The Bank of Missouri,Missouri,2963315,Low Satisfactory,High Satisfactory,one,DEFER — SINGLE GAP,"#48 St. Louis, 3br",St. Louis,48,3,,
30401,Penn Community Bank,Pennsylvania,2934068,Outstanding,Low Satisfactory,one,OUT — LOW NEED,best county ranks #108,Montgomery,108,2,,
32974,Gulf Coast Bank and Trust Company,Louisiana,2927905,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,1br in #2 Harris,Harris,2,1,,
25093,Habib American Bank,New York,2856490,Low Satisfactory,Low Satisfactory,both,LOADED,already in the roster,,,,,
57463,PCB Bank,California,2854271,Low Satisfactory,High Satisfactory,one,DEFER — SINGLE GAP,"#1 Los Angeles, 9br",Los Angeles,1,9,,
16470,Jefferson Bank,Texas,2802550,Low Satisfactory,Outstanding,one,DEFER — SINGLE GAP,"#13 Bexar, 10br",Bexar,13,10,,
34533,First Community Bank,Arkansas,2757543,High Satisfactory,Low Satisfactory,one,OUT — TOKEN PRESENCE,2br in #87 Pulaski,Pulaski,87,2,,
34618,"Macatawa Bank, National Association",Michigan,2733572,High Satisfactory,Low Satisfactory,one,OUT — LOW NEED,best county ranks #112,Kent,112,11,,
17514,Banterra Bank,Illinois,2726883,Low Satisfactory,Low Satisfactory,both,READ THE PE,"#4 Maricopa, 4br, both gap",Maricopa,4,4,,
19333,Republic Bank of Chicago,Illinois,2681738,Low Satisfactory,High Satisfactory,one,DEFER — SINGLE GAP,"#3 Cook, 13br",Cook,3,13,,
90215,Avidia Bank,Massachusetts,2662177,Low Satisfactory,Low Satisfactory,both,READ THE PE,"#53 Middlesex, 5br, both gap",Middlesex,53,5,,
57591,West Coast Community Bank,California,2650147,High Satisfactory,Low Satisfactory,one,OUT — TOKEN PRESENCE,2br in #39 Santa Clara,Santa Clara,39,2,,
57633,1st Security Bank of Washington,Washington,2632273,Outstanding,Low Satisfactory,one,DEFER — SINGLE GAP,"#28 King, 3br",King,28,3,,
58309,American Momentum Bank,Texas,2579369,High Satisfactory,Low Satisfactory,one,OUT — TOKEN PRESENCE,1br in #5 Dallas,Dallas,5,1,,
28679,North Shore Bank,Wisconsin,2569494,Low Satisfactory,High Satisfactory,one,DEFER — SINGLE GAP,"#60 Milwaukee, 17br",Milwaukee,60,17,,
33216,Northrim Bank,Alaska,2564795,High Satisfactory,Low Satisfactory,one,OUT — NO RANKED COUNTY,footprint touches no county in the need index,,,,,
20884,Bank of Guam,Guam,2563933,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,1br in #88 San Francisco,San Francisco,88,1,,
19573,Lakeside Bank,Illinois,2559362,Low Satisfactory,Low Satisfactory,both,LOADED,already in the roster,,,,,
90290,UniBank for Savings,Massachusetts,2520940,High Satisfactory,Low Satisfactory,one,OUT — TOKEN PRESENCE,1br in #53 Middlesex,Middlesex,53,1,,
58640,Revere Bank,Maryland,2510251,Low Satisfactory,High Satisfactory,one,DEAD,closed institution,,,,,
2315,Armstrong Bank,Oklahoma,2446898,High Satisfactory,Low Satisfactory,one,OUT — TOKEN PRESENCE,1br in #49 Oklahoma,Oklahoma,49,1,,
19899,KS StateBank,Kansas,2437059,Low Satisfactory,High Satisfactory,one,OUT — TOKEN PRESENCE,1br in #4 Maricopa,Maricopa,4,1,,
6158,Peoples Bank,Washington,2434624,High Satisfactory,Low Satisfactory,one,OUT — TOKEN PRESENCE,1br in #28 King,King,28,1,,
33503,Unity Bank,New Jersey,2431532,Low Satisfactory,High Satisfactory,one,DEFER — SINGLE GAP,"#82 Middlesex, 4br",Middlesex,82,4,,
13879,"PeoplesBank, a Codorus Valley Company",Pennsylvania,2414844,High Satisfactory,Low Satisfactory,one,DEAD,closed institution,,,,,
7506,ACNB Bank,Pennsylvania,2403350,Low Satisfactory,Low Satisfactory,both,OUT — LOW NEED,best county ranks #167,Lancaster,167,3,,
33005,FCB Banks,Illinois,2384266,Low Satisfactory,High Satisfactory,one,DEFER — SINGLE GAP,"#48 St. Louis, 3br",St. Louis,48,3,,
698,Wayne Bank,Pennsylvania,2366498,High Satisfactory,Low Satisfactory,one,OUT — LOW NEED,best county ranks #167,Lancaster,167,2,,
11112,Somerset Trust Company,Pennsylvania,2315834,Low Satisfactory,High Satisfactory,one,OUT — LOW NEED,best county ranks #107,Fairfax,107,1,,
7799,Citizens & Northern Bank,Pennsylvania,2311213,Low Satisfactory,Low Satisfactory,both,OUT — LOW NEED,best county ranks #167,Lancaster,167,1,,
57510,Avidbank,California,2298340,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,1br in #39 Santa Clara,Santa Clara,39,1,,
28513,"WaterStone Bank, SSB",Wisconsin,2241040,High Satisfactory,Low Satisfactory,one,DEFER — SINGLE GAP,"#60 Milwaukee, 11br",Milwaukee,60,11,,
28405,First Fed Bank,Washington,2219706,Low Satisfactory,High Satisfactory,one,OUT — LOW NEED,best county ranks #410,Whatcom,410,3,,
58581,Texas Partners Bank,Texas,2200996,Low Satisfactory,Low Satisfactory,both,DEAD,closed institution,,,,,
12769,First United Bank,Texas,2195446,High Satisfactory,Low Satisfactory,one,OUT — LOW NEED,best county ranks #145,Lubbock,145,5,,
30903,Community Bank of the Chesapeake,Maryland,2192933,Low Satisfactory,High Satisfactory,one,DEAD,closed institution,,,,,
2711,"Traditional Bank, Inc.",Kentucky,2190086,Low Satisfactory,High Satisfactory,one,OUT — TOKEN PRESENCE,1br in #46 Jefferson,Jefferson,46,1,,
34888,Parke Bank,New Jersey,2155246,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,2br in #18 Philadelphia,Philadelphia,18,2,,
14065,Vallant Bank,Georgia,2130759,Low Satisfactory,High Satisfactory,one,OUT — TOKEN PRESENCE,1br in #36 Gwinnett,Gwinnett,36,1,,
172,United Bank,Georgia,2120294,Low Satisfactory,Outstanding,one,OUT — LOW NEED,best county ranks #333,Coweta,333,2,,
18059,The Bank of Commerce,Idaho,2111141,Low Satisfactory,High Satisfactory,one,OUT — LOW NEED,best county ranks #360,Bonneville,360,5,,
18198,Ion Bank,Connecticut,2083933,Low Satisfactory,High Satisfactory,one,OUT — TOKEN PRESENCE,1br in #40 New Haven,New Haven,40,1,,
58374,The Piedmont Bank,Georgia,2079824,Low Satisfactory,Low Satisfactory,both,DEAD,closed institution,,,,,
23992,Country Bank for Savings,Massachusetts,2073726,High Satisfactory,Low Satisfactory,one,OUT — LOW NEED,best county ranks #137,Worcester,137,8,,
9123,Western State Bank,North Dakota,2072686,Low Satisfactory,High Satisfactory,one,DEFER — SINGLE GAP,"#4 Maricopa, 6br",Maricopa,4,6,,
29523,Peoples Bank,Indiana,2072545,Low Satisfactory,High Satisfactory,one,DEFER — SINGLE GAP,"#3 Cook, 10br",Cook,3,10,,
27744,MutualBank,Indiana,2068557,Low Satisfactory,High Satisfactory,one,DEAD,closed institution,,,,,
253,Luana Savings Bank,Iowa,2063244,Low Satisfactory,Low Satisfactory,both,OUT — LOW NEED,best county ranks #146,Polk,146,1,,
17470,First Bank Chicago,Illinois,2024099,Low Satisfactory,Outstanding,one,DEFER — SINGLE GAP,"#3 Cook, 3br",Cook,3,3,,
30052,Blue Foundry Bank,New Jersey,2022886,Low Satisfactory,High Satisfactory,one,OUT — TOKEN PRESENCE,1br in #54 Essex,Essex,54,1,,
9204,Central Bank,Utah,2014180,Low Satisfactory,High Satisfactory,one,DEFER — SINGLE GAP,"#70 Utah, 12br",Utah,70,12,,
1265,Cashmere Valley Bank,Washington,2008732,Low Satisfactory,High Satisfactory,one,OUT — LOW NEED,best county ranks #287,Yakima,287,2,,
15809,Security State Bank & Trust,Texas,1984577,Low Satisfactory,High Satisfactory,one,OUT — TOKEN PRESENCE,2br in #16 Tarrant,Tarrant,16,2,,
28116,Yakima Federal Savings and Loan Association,Washington,1984560,High Satisfactory,Low Satisfactory,one,OUT — LOW NEED,best county ranks #287,Yakima,287,4,,
26856,Falcon International Bank,Texas,1975494,High Satisfactory,Low Satisfactory,one,OUT — TOKEN PRESENCE,2br in #13 Bexar,Bexar,13,2,,
26336,The Village Bank,Massachusetts,1946483,Low Satisfactory,Low Satisfactory,both,READ THE PE,"#53 Middlesex, 11br, both gap",Middlesex,53,11,,
58513,The Bank of Princeton,New Jersey,1916497,High Satisfactory,Low Satisfactory,one,OUT — TOKEN PRESENCE,1br in #9 Queens,Queens,9,1,,
28453,Timberland Bank,Washington,1906715,High Satisfactory,Low Satisfactory,one,OUT — TOKEN PRESENCE,1br in #28 King,King,28,1,,
3440,First Northern Bank of Dixon,California,1903284,Low Satisfactory,High Satisfactory,one,DEFER — SINGLE GAP,"#25 Sacramento, 3br",Sacramento,25,3,,
14207,Lincoln Savings Bank,Iowa,1883919,Low Satisfactory,Low Satisfactory,both,OUT — LOW NEED,best county ranks #146,Polk,146,3,,
21573,Bank of Tennessee,Tennessee,1875869,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,1br in #65 Davidson,Davidson,65,1,,
7714,QNB Bank,Pennsylvania,1873899,Low Satisfactory,High Satisfactory,one,OUT — LOW NEED,best county ranks #108,Montgomery,108,5,,
12517,Bank Five Nine,Wisconsin,1850194,Low Satisfactory,High Satisfactory,one,DEFER — SINGLE GAP,"#60 Milwaukee, 3br",Milwaukee,60,3,,
5854,"South Central Bank,  Inc.",Kentucky,1845172,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,1br in #46 Jefferson,Jefferson,46,1,,
33188,Shinhan Bank America,New York,1841066,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,2br in #1 Los Angeles,Los Angeles,1,2,,
18402,Blackhawk Bank & Trust,Illinois,1835223,Low Satisfactory,Low Satisfactory,both,OUT — LOW NEED,best county ranks #440,Scott,440,4,,
57777,Meridian Bank,Pennsylvania,1831464,Substantial Non Complianc,Substantial Non Complianc,crit,LOADED,already in the roster,,,,,
8405,Farmers and Merchants Trust Company of Chambersburg,Pennsylvania,1827377,Low Satisfactory,High Satisfactory,one,OUT — LOW NEED,best county ranks #274,Dauphin,274,1,,
10619,Hawthorn Bank,Missouri,1825851,High Satisfactory,Low Satisfactory,one,OUT — TOKEN PRESENCE,2br in #78 Jackson,Jackson,78,2,,
9978,First State Bank of Uvalde,Texas,1823649,Outstanding,Low Satisfactory,one,OUT — LOW NEED,best county ranks #1413,Uvalde,1413,5,,
15995,PCSB Bank,New York,1788574,High Satisfactory,Low Satisfactory,one,DEAD,closed institution,,,,,
2240,First American Bank,New Mexico,1779138,Outstanding,Low Satisfactory,one,LOADED,already in the roster,,,,,
57228,Embassy Bank for the Lehigh Valley,Pennsylvania,1754946,Low Satisfactory,High Satisfactory,one,OUT — LOW NEED,best county ranks #135,Lehigh,135,6,,
34047,First Community Bank,South Carolina,1735147,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,1br in #50 Fulton,Fulton,50,1,,
33758,Starion Bank,North Dakota,1720130,Low Satisfactory,Low Satisfactory,both,OUT — LOW NEED,best county ranks #124,Dane,124,3,,
26484,TruNorth Bank,Massachusetts,1665529,Substantial Non Complianc,Substantial Non Complianc,crit,OUT — TOKEN PRESENCE,1br in #53 Middlesex,Middlesex,53,1,,
1711,Wellworth Bank,Tennessee,1659215,High Satisfactory,Low Satisfactory,one,OUT — LOW NEED,best county ranks #358,Sumner,358,1,,
5956,Peoples Bank,North Carolina,1620439,Low Satisfactory,High Satisfactory,one,OUT — TOKEN PRESENCE,2br in #44 Mecklenburg,Mecklenburg,44,2,,
18258,Thomaston Savings Bank,Connecticut,1583298,Low Satisfactory,High Satisfactory,one,OUT — NO RANKED COUNTY,footprint touches no county in the need index,,,,,
59093,International Bank of Commerce,Oklahoma,1548823,Outstanding,Low Satisfactory,one,OUT — TOKEN PRESENCE,1br in #5 Dallas,Dallas,5,1,,
34726,New Mexico Bank & Trust,New Mexico,1500024,Low Satisfactory,High Satisfactory,one,DEAD,closed institution,,,,,
7404,First Keystone Community Bank,Pennsylvania,1308680,Low Satisfactory,Low Satisfactory,both,OUT — LOW NEED,best county ranks #204,Luzerne,204,8,,
18467,Salisbury Bank and Trust Company,Connecticut,1112449,Low Satisfactory,Low Satisfactory,both,DEAD,closed institution,,,,,
15990,Watertown Savings Bank,New York,925416,Low Satisfactory,Outstanding,one,OUT — LOW NEED,best county ranks #454,Jefferson,454,10,,
11113,Hamlin Bank and Trust Company,Pennsylvania,421614,Low Satisfactory,Low Satisfactory,both,OUT — LOW NEED,best county ranks #639,Cattaraugus,639,1,,
4433,First Citizens Bank,Iowa,1905697,Low Satisfactory,Low Satisfactory,both,OUT — LOW NEED,best county ranks #1231,Cerro Gordo,1231,2,,
23473,First Fidelity Bank,Oklahoma,2894984,Low Satisfactory,Low Satisfactory,both,READ THE PE,"#4 Maricopa, 6br, both gap",Maricopa,4,6,"only individual donation examples ($6,600, $17,500); no AA total stated",needs a table read
660,The Adirondack Trust Company,New York,1714346,Low Satisfactory,Low Satisfactory,both,OUT — LOW NEED,best county ranks #480,Saratoga,480,10,,
7542,Ameriserv Financial Bank,Pennsylvania,1426921,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,1br in #42 Allegheny,Allegheny,42,1,,
16604,Bank Independent,Alabama,2814773,Low Satisfactory,,one,OUT — LOW NEED,best county ranks #161,Madison,161,5,,
12633,The Central Trust Bank,Missouri,19551204,Low Satisfactory,,one,DEFER — SINGLE GAP,"#48 St. Louis, 10br",St. Louis,48,10,,
22354,Commercial Bank,Tennessee,2238247,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,1br in #65 Davidson,Davidson,65,1,,
34562,ENCORE BANK,Arkansas,3705306,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,1br in #5 Dallas,Dallas,5,1,,
16216,The Farmers & Merchants Bank,Arkansas,1852126,Low Satisfactory,,one,OUT — LOW NEED,best county ranks #127,Washington,127,6,,
1487,First Farmers and Merchants Bank,Tennessee,1763096,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,2br in #65 Davidson,Davidson,65,2,,
20488,Five Points Bank,Nebraska,2008090,Low Satisfactory,,one,OUT — LOW NEED,best county ranks #132,Douglas,132,3,,
22334,One Community Bank,Wisconsin,2181049,Low Satisfactory,Needs to Improve,crit,OUT — LOW NEED,best county ranks #124,Dane,124,9,,
12614,Origin Bank,Louisiana,9882221,Low Satisfactory,Low Satisfactory,both,READ THE PE,"#2 Harris, 9br, both gap",Harris,2,9,no donation figure matched any standard phrasing,needs a manual read
15399,RCB Bank,Oklahoma,3899432,Low Satisfactory,Low Satisfactory,both,READ THE PE,"#49 Oklahoma, 7br, both gap",Oklahoma,49,7,,
24563,Texas Community Bank,Texas,2104571,Low Satisfactory,Needs to Improve,crit,READ THE PE,"#13 Bexar, 3br, crit gap",Bexar,13,3,,
26906,Texas Regional Bank,Texas,2660302,Low Satisfactory,,one,OUT — TOKEN PRESENCE,2br in #2 Harris,Harris,2,2,,
6423,Amboy Bank,New Jersey,2638667,Low Satisfactory,,one,DEFER — SINGLE GAP,"#82 Middlesex, 13br",Middlesex,82,13,,
14521,Bank Iowa,Iowa,2117855,Low Satisfactory,Low Satisfactory,both,OUT — LOW NEED,best county ranks #146,Polk,146,2,,
9507,The Bank of Marion,Virginia,554162,Low Satisfactory,,one,OUT — LOW NEED,best county ranks #253,Washington,253,1,,
18012,Bank of New Hampshire,New Hampshire,2583718,Low Satisfactory,,one,OUT — LOW NEED,best county ranks #323,Hillsborough,323,4,,
34147,Bank Rhode Island,Rhode Island,3378281,Low Satisfactory,,one,DEAD,closed institution,,,,,
15555,Central Bank,Iowa,2135960,Low Satisfactory,,one,OUT — LOW NEED,best county ranks #146,Polk,146,5,,
1014,ChoiceOne Bank,Michigan,2724240,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,1br in #57 Oakland,Oakland,57,1,,
57873,Commonwealth Business Bank,California,1654826,Low Satisfactory,Low Satisfactory,both,READ THE PE,"#1 Los Angeles, 4br, both gap",Los Angeles,1,4,no donation figure matched any standard phrasing,needs a manual read
19123,First Western Bank & Trust,North Dakota,2208449,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,1br in #4 Maricopa,Maricopa,4,1,,
1040,Midland States Bank,Illinois,7782095,Low Satisfactory,Low Satisfactory,both,READ THE PE,"#48 St. Louis, 7br, both gap",St. Louis,48,7,"$156,850 in the St. Louis AA","$10,000 earmark — but its ""Chicago"" AA excludes Cook entirely"
12944,Orange Bank & Trust Company,New York,2438041,Low Satisfactory,,one,OUT — TOKEN PRESENCE,2br in #22 Bronx,Bronx,22,2,,
23799,Texas First Bank,Texas,2179880,Low Satisfactory,,one,LOADED,already in the roster,,,,,
58716,Third Coast Bank,Texas,4650798,Low Satisfactory,Low Satisfactory,both,LOADED,already in the roster,,,,,
8870,BankFirst Financial Services,Mississippi,2666230,Low Satisfactory,,one,OUT — TOKEN PRESENCE,1br in #72 Jefferson,Jefferson,72,1,,
597,Chemung Canal Trust Company,New York,2649923,Low Satisfactory,,one,OUT — TOKEN PRESENCE,1br in #59 Erie,Erie,59,1,,
34444,Customers Bank,Pennsylvania,20879065,Low Satisfactory,Low Satisfactory,both,OUT — TOKEN PRESENCE,1br in #63 Westchester,Westchester,63,1,,
90173,East Cambridge Savings Bank,Massachusetts,1604208,Low Satisfactory,,one,DEFER — SINGLE GAP,"#53 Middlesex, 11br",Middlesex,53,11,,
90188,Bankesb,Massachusetts,1903686,Low Satisfactory,,one,OUT — LOW NEED,best county ranks #270,Hampden,270,3,,
22918,The First Bank and Trust Company,Virginia,3087425,Low Satisfactory,Low Satisfactory,both,OUT — LOW NEED,best county ranks #253,Washington,253,2,,
