bank_key,bank,state,ask_usd,route,contact,title,channel,address,confidence,source
mega_bank,Mega Bank,CA,5000,role,CRA Officer,"designated public-file contact, Mega Bank",https://www.megabankusa.com,"245 W Valley Blvd, San Gabriel, CA 91776",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
meridian_bank,Meridian Bank,PA,25000,channel,CRA Officer,no name published; reach the role at this channel,(484) 235-0349,"9 Old Lincoln Highway, Malvern PA 19355",LOW,bank website
northfield_bank,Northfield Bank,NY,25000,role,CRA Officer,"designated public-file contact, Northfield Bank",www.enorthfield.com,"4142 Hylan Blvd, Staten Island, NY 10308",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
ocean_bank,Ocean Bank,FL,25000,channel,CRA Officer,no name published; reach the role at this channel,oceanbank.com CRA public file section,Miami FL,LOW,bank website
pinnacle_nashville,Pinnacle Bank,TN,25000,role,CRA Officer,"designated public-file contact, Pinnacle Bank",www.pnfp.com,"21 Platform Way S, Nashville, TN 37203",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
pnc_louisville,"PNC Bank, N.A.",KY,25000,role,CRA Officer,"designated public-file contact, PNC Bank, National Association",www.pnc.com,"222 Delaware Ave, Wilmington, DE 19801",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
prosperity_houston,Prosperity Bank,TX,10000,role,CRA Officer,"designated public-file contact, Prosperity Bank",www.prosperitybankusa.com,"1301 N Mechanic St, El Campo, TX 77437",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
republic_louisville,Republic Bank & Trust Company,KY,25000,role,CRA Officer,"designated public-file contact, Republic Bank & Trust Company",www.republicbank.com,"601 W Market St, Louisville, KY 40202",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
river_city_bank,River City Bank,CA,25000,channel,CRA Officer,no name published; reach the role at this channel,rivercitybank.com/cra-public-file/,"2480 Natomas Park Drive, Suite 100, Sacramento CA 95833",MEDIUM,bank CRA public file page
stock_yards_louisville,Stock Yards Bank & Trust Company,KY,25000,role,CRA Officer,"designated public-file contact, Stock Yards Bank & Trust Company",www.syb.com,"1040 E Main St, Louisville, KY 40206",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
td_philadelphia,"TD Bank, N.A.",PA,25000,role,CRA Officer,"designated public-file contact, TD Bank, National Association",www.td.com/us/en/personal-banking/,"2035 Limestone Rd, Wilmington, DE 19808",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
texas_first_bank,Texas First Bank,TX,12500,channel,CRA Officer,no name published; reach the role at this channel,CRA public file PDF on texasfirst.bank,Texas City TX 77592,LOW,bank CRA public file (2024)
third_coast_bank,Third Coast Bank,TX,10000,role,CRA Officer,"designated public-file contact, Third Coast Bank",www.thirdcoast.bank,"20202 Highway 59 N, Humble, TX 77338",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
truist_houston,Truist Bank,TX,25000,role,CRA Officer,"designated public-file contact, Truist Bank",www.Truist.com,"214 N Tryon St, Charlotte, NC 28202",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
wafd_phoenix,WaFd Bank,AZ,22500,role,CRA Officer,"designated public-file contact, WaFd Bank",www.wafdbank.com,"425 Pike St, Seattle, WA 98101",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
wells_fargo_dallas,"Wells Fargo Bank, N.A.",TX,25000,role,CRA Officer,"designated public-file contact, Wells Fargo Bank, National Association",www.wellsfargo.com,"3201 N 4th Ave, Sioux Falls, SD 57104",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
wells_fargo_la,"Wells Fargo Bank, N.A.",CA,25000,role,CRA Officer,"designated public-file contact, Wells Fargo Bank, National Association",www.wellsfargo.com,"3201 N 4th Ave, Sioux Falls, SD 57104",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
wells_fargo_phoenix,"Wells Fargo Bank, N.A.",AZ,25000,role,CRA Officer,"designated public-file contact, Wells Fargo Bank, National Association",www.wellsfargo.com,"3201 N 4th Ave, Sioux Falls, SD 57104",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
western_alliance,Western Alliance Bank,AZ,25000,named,Craig Robinson,Head of Community Relations,(408) 689-8417,"1 East Washington Street, Suite 1400, Phoenix AZ 85004",HIGH,"2024-2026 CRA Strategic Plan public notice, hosted by the Federal Reserve"
western_state_phoenix,Western State Bank,AZ,25000,role,CRA Officer,"designated public-file contact, Western State Bank",www.westernbanks.com,"110 4th St Se, Devils Lake, ND 58301",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
woodforest_houston,Woodforest National Bank,TX,25000,role,CRA Officer,"designated public-file contact, Woodforest National Bank",www.woodforest.com,"1330 Lake Robbins Dr, The Woodlands, TX 77380",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
