STATE,STATEFIPS,COUNTY,COUNTYFIPS,YM,YEAR,MONTH,HOUSEHOLDS,INDIVIDUALS,ISSUANCE,APPS_RECEIVED,APPS_APPROVED,APPS_DENIED,APPS_DENIED_NEEDBASED,APPS_DENIED_PROCEDURAL
California,6,alameda,1,2019m9,2019,9,63246,109700,13595191,6555,3979,2254,478,1519
California,6,alameda,1,2019m10,2019,10,64496,111973,13766167,6614,4125,2341,488,1588
California,6,alameda,1,2019m11,2019,11,64654,112311,13648815,5294,3362,2012,424,1361
California,6,alameda,1,2019m12,2019,12,65129,112943,13608080,5146,3188,1977,375,1368
California,6,alameda,1,2020m1,2020,1,65302,112881,12426677,6341,3620,1912,492,1160
California,6,alameda,1,2020m2,2020,2,65156,112458,13495945,5234,3214,1827,397,1218
California,6,alameda,1,2020m3,2020,3,66424,114173,13831165,8152,3610,2032,453,1317
California,6,alameda,1,2020m4,2020,4,76979,126157,15651644,13951,9154,3519,1018,2109
California,6,alameda,1,2020m5,2020,5,82572,134219,16940121,9886,5815,3962,1713,1752
California,6,alameda,1,2020m6,2020,6,86632,141850,17595067,8340,3894,4279,1820,1926
California,6,alameda,1,2020m7,2020,7,86626,139604,17231205,6968,3379,3729,1403,1849
California,6,alameda,1,2020m8,2020,8,86097,139609,17048885.49,7382,4125,2603,870,1432
California,6,alameda,1,2020m9,2020,9,85083,143675,16462635.15,6218,3757,2347,662,1374
California,6,alameda,1,2020m10,2020,10,81670,138417,16322362.28,6240,3688,2421,683,1403
California,6,alameda,1,2020m11,2020,11,78468,132809,15379331.13,6377,3666,2071,543,1321
California,6,alameda,1,2020m12,2020,12,78156,131805,15164372.65,9425,5145,2680,848,1525
California,6,alameda,1,2021m1,2021,1,79808,133661,15231672.01,8229,5018,3423,964,2097
California,6,alameda,1,2021m2,2021,2,82449,137321,21846446.03,7032,4313,2966,861,1796
California,6,alameda,1,2021m3,2021,3,82562,137331,18770176.66,8205,4532,3036,803,1858
California,6,alameda,1,2021m4,2021,4,82729,137957,18662293.51001,6696,3870,2816,708,1808
California,6,alameda,1,2021m5,2021,5,83931,139333,18401056.99,6152,3404,2585,676,1610
California,6,alameda,1,2021m6,2021,6,84606,140224,18014146.27,9249,4544,3139,819,1902
California,6,alameda,1,2021m7,2021,7,83916,139751,18269220.03,8722,4780,3829,858,2550
California,6,alameda,1,2021m8,2021,8,85383,141898,18425242.01001,11675,5391,3977,1028,2518
California,6,alameda,1,2021m9,2021,9,87740,144804,19006293.84,10591,5849,4690,1137,3180
California,6,alameda,1,2021m10,2021,10,90454,148606,22533276.79,10372,6316,4110,1025,2732
California,6,alameda,1,2021m11,2021,11,91557,149768,23036912.97,8435,4577,4130,866,2973
California,6,alameda,1,2021m12,2021,12,91973,149858,23382981.97,7427,3999,3393,762,2319
California,6,alameda,1,2022m1,2022,1,92141,149893,23212632.93,9331,4409,3345,847,2186
California,6,alameda,1,2022m2,2022,2,92708,150476,22169052.33,8567,4646,3656,968,2423
California,6,alameda,1,2022m3,2022,3,93449,151991,23205359.66,8920,5083,3891,966,2541
California,6,alameda,1,2022m4,2022,4,93530,152390,23154662.84,7690,4328,3165,874,1999
California,6,alameda,1,2022m5,2022,5,93646,152428,23194956.48,7646,4182,2997,836,1868
California,6,alameda,1,2022m6,2022,6,94964,154499,23316748.68,9006,4732,3161,919,1938
California,6,alameda,1,2022m7,2022,7,95143,154947,23436850.89,8713,4281,3363,963,2106
California,6,alameda,1,2022m8,2022,8,96589,157130,23661716.82,11600,5089,4345,1217,2669
California,6,alameda,1,2022m9,2022,9,98538,159948,22744583,11463,5768,4947,1423,3115
California,6,alameda,1,2022m10,2022,10,84112,132932,29126805,10409,5673,4700,1364,2991
California,6,alameda,1,2022m11,2022,11,101510,163695,29330761,8868,4616,4008,1084,2642
California,6,alameda,1,2022m12,2022,12,102606,165382,29615503,7857,4369,3870,1038,2449
California,6,alameda,1,2023m1,2023,1,103991,167060,28990882,10285,4660,3832,1067,2379
California,6,alameda,1,2023m2,2023,2,104831,168022,28430849,8335,4407,3933,1090,2535
California,6,alameda,1,2023m3,2023,3,105610,169136,28745084,9154,5147,4197,1159,2734
California,6,alameda,1,2023m4,2023,4,98915,159333,28517731,7704,3965,3142,878,1994
California,6,alameda,1,2023m5,2023,5,100514,161416,29002801,9093,4716,3790,1087,2393
California,6,alameda,1,2023m6,2023,6,100979,162285,29013917,8424,4149,3439,956,2136
California,6,alameda,1,2023m7,2023,7,100424,161474,28907666,8476,3739,3538,910,2333
California,6,alameda,1,2023m8,2023,8,101551,163097,29432505,11454,5464,4626,1421,2730
California,6,alameda,1,2023m9,2023,9,99102,159127,28448645,9537,3659,4280,1427,2576
California,6,alameda,1,2023m10,2023,10,102129,161845,31358389,9684,5629,5101,1962,2829
California,6,alameda,1,2023m11,2023,11,102089,162197,31232080,8546,4442,4483,1420,2807
California,6,alameda,1,2023m12,2023,12,102486,162987,31204853,7113,3985,4000,1233,2511
California,6,alameda,1,2024m1,2024,1,103361,164137,31250605,10156,4517,4001,1343,2366
California,6,alameda,1,2024m2,2024,2,93862,149760,30873986,8008,4192,4497,1404,2810
California,6,alpine,3,2016m7,2016,7,93,154,19185, , ,0,0,0
California,6,alpine,3,2016m8,2016,8,89,143,17092, , ,0,0,0
California,6,alpine,3,2016m9,2016,9,90,147,17447, , ,0,0, 
California,6,alpine,3,2016m10,2016,10,88,143,16576, , ,0,0,0
California,6,alpine,3,2016m11,2016,11,90,146,17327, , ,0,0,0
California,6,alpine,3,2016m12,2016,12,90,148,17269, , , ,0, 
California,6,alpine,3,2017m1,2017,1,86,141,17426, , ,0,0, 
California,6,alpine,3,2017m2,2017,2,85,143,17720, , ,0,0,0
California,6,alpine,3,2017m3,2017,3,87,146,18319, , ,0, ,0
California,6,alpine,3,2017m4,2017,4,84,143,16171, , ,0,0,0
California,6,alpine,3,2017m5,2017,5,79,143,17624, , ,0,0,0
California,6,alpine,3,2017m6,2017,6,79,139,16678, , ,0,0,0
California,6,alpine,3,2017m7,2017,7,76,138,16899, , ,0,0,0
California,6,alpine,3,2017m8,2017,8,78,137,17084, , ,0,0,0
California,6,alpine,3,2017m9,2017,9,76,136,15909, , ,0, , 
California,6,alpine,3,2017m10,2017,10,79,144,16717, , ,0, ,0
California,6,alpine,3,2017m11,2017,11,81,144,15803, , ,0,0,0
California,6,alpine,3,2017m12,2017,12,77,136,14599, , ,0,0,0
California,6,alpine,3,2018m1,2018,1,79,139,16226, , ,0,0,0
California,6,alpine,3,2018m2,2018,2,79,141,17024, , ,0,0, 
California,6,alpine,3,2018m3,2018,3,80,147,16675, , ,0,0, 
California,6,alpine,3,2018m4,2018,4,76,133,15296, ,0,0,0, 
California,6,alpine,3,2018m5,2018,5,80,147,17080, , ,0, , 
California,6,alpine,3,2018m6,2018,6,78,138,16338, , ,0,0,0
California,6,alpine,3,2018m7,2018,7,72,122,14937, , ,0,0,0
California,6,alpine,3,2018m8,2018,8,69,118,14416, , ,0,0, 
California,6,alpine,3,2018m9,2018,9,67,114,14203, , ,0,0,0
California,6,alpine,3,2018m10,2018,10,73,124,15616, , ,0, , 
California,6,alpine,3,2018m11,2018,11,72,127,15542, , ,0,0,0
California,6,alpine,3,2018m12,2018,12,70,113,15349, , ,0, , 
California,6,alpine,3,2019m1,2019,1,70,114,27662, , , ,0, 
California,6,alpine,3,2019m2,2019,2,12,28,1877, , ,0,0,0
California,6,alpine,3,2019m3,2019,3,70,118,14626, , ,0,0,0
California,6,alpine,3,2019m4,2019,4,73,127,16172, , ,0,0,0
California,6,alpine,3,2019m5,2019,5,71,119,15284, , ,0,0, 
California,6,alpine,3,2019m6,2019,6,78,125,1647, , ,0, ,0
California,6,alpine,3,2019m7,2019,7,79,132,16271, , , ,0, 
California,6,alpine,3,2019m8,2019,8,79,123,14673, , ,0,0, 
California,6,alpine,3,2019m9,2019,9,74,115,14420, , ,0, ,0
California,6,alpine,3,2019m10,2019,10,72,112,13998, , ,0,0, 
California,6,alpine,3,2019m11,2019,11,70,105,12682, , , ,0, 
California,6,alpine,3,2019m12,2019,12,74,117,13673, , ,0,0,0
California,6,alpine,3,2020m1,2020,1,77,126,14377, , ,0, , 
California,6,alpine,3,2020m2,2020,2,69,116,13049, , ,0,0, 
California,6,alpine,3,2020m3,2020,3,72,120,13779,15, , , ,0
California,6,alpine,3,2020m4,2020,4,86,138,23937,16,11,6, , 
California,6,alpine,3,2020m5,2020,5,92,148,26676, , ,0, , 
California,6,alpine,3,2020m6,2020,6,79,128,23953, , ,0, , 
California,6,alpine,3,2020m7,2020,7,73,118,20852, , ,0,0, 
California,6,alpine,3,2020m8,2020,8,69,113,19948, , ,0,0,0
California,6,alpine,3,2020m9,2020,9,66,109,19584, , ,0,0, 
California,6,alpine,3,2020m10,2020,10,63,105,20069, , ,0,0, 
California,6,alpine,3,2020m11,2020,11,60,100,18572, , , ,0, 
California,6,alpine,3,2020m12,2020,12,59,93,18343, , , , ,0
California,6,alpine,3,2021m1,2021,1,62,101,19393, , ,0,0, 
California,6,alpine,3,2021m2,2021,2,66,113,26149, , ,0,0,0
California,6,alpine,3,2021m3,2021,3,67,118,24598, , ,0,0, 
California,6,alpine,3,2021m4,2021,4,66,120,24852, , , ,0, 
California,6,alpine,3,2021m5,2021,5,63,117,28063, , ,0, , 
California,6,alpine,3,2021m6,2021,6,62,116,27356, , ,0,0, 
California,6,alpine,3,2021m7,2021,7,61,119,27588, , ,0,0, 
California,6,alpine,3,2021m8,2021,8,63,125,30234, , ,0,0, 
California,6,alpine,3,2021m9,2021,9,64,124,29300, , ,0, , 
California,6,alpine,3,2021m10,2021,10,64,127,32362,11, , , , 
California,6,alpine,3,2021m11,2021,11,67,129,31734, , , , , 
California,6,alpine,3,2021m12,2021,12,63,122,30002, , , ,0, 
California,6,alpine,3,2022m1,2022,1,63,118,29373, , ,0,0, 
California,6,alpine,3,2022m2,2022,2,67,122,29763,12, , ,0, 
California,6,alpine,3,2022m3,2022,3,71,128,30676, , ,0,0, 
California,6,alpine,3,2022m4,2022,4,71,128,32313, , ,0, , 
California,6,alpine,3,2022m5,2022,5,65,117,29700, , ,0, ,0
California,6,alpine,3,2022m6,2022,6,68,123,30423, , ,0,0, 
California,6,alpine,3,2022m7,2022,7,68,121,29995, , ,0, , 
California,6,alpine,3,2022m8,2022,8,67,121,30379, , ,0,0,0
California,6,alpine,3,2022m9,2022,9,67,122,30334, , ,0,0,0
California,6,alpine,3,2022m10,2022,10,75,129,35084, , ,0,0,0
California,6,alpine,3,2022m11,2022,11,77,133,39893, , ,0,0,0
California,6,alpine,3,2022m12,2022,12,77,134,37779, , ,0,0, 
California,6,alpine,3,2023m1,2023,1,78,140,37038, , ,0,0, 
California,6,alpine,3,2023m2,2023,2,81,144,40023, , ,0,0, 
California,6,alpine,3,2023m3,2023,3,87,154,42259, , ,0,0, 
California,6,alpine,3,2023m4,2023,4,85,145,26373, , ,0,0,0
California,6,alpine,3,2023m5,2023,5,95,165,30728, , ,0, , 
California,6,alpine,3,2023m6,2023,6,93,169,30404, , , , , 
California,6,alpine,3,2023m7,2023,7,98,178,32151, , ,0,0,0
California,6,alpine,3,2023m8,2023,8,105,192,31238,13,11,0,0,0
California,6,alpine,3,2023m9,2023,9,100,183,31678, , ,0,0,0
California,6,alpine,3,2023m10,2023,10,98,179,36066, , ,0, ,0
California,6,alpine,3,2023m11,2023,11,98,182,33696, , ,0, , 
California,6,alpine,3,2023m12,2023,12,102,178,34990, , , , ,0
California,6,alpine,3,2024m1,2024,1,102,181,33683, , ,0,0,0
California,6,alpine,3,2024m2,2024,2,99,173,33882, , ,0,0, 
California,6,amador,5,2016m7,2016,7,1764,3321,447974,38,71,41,32,0
California,6,amador,5,2016m8,2016,8,1748,3292,444227,30,73,49,40,0
California,6,amador,5,2016m9,2016,9,1733,3280,436980,134,81,45,16,24
California,6,amador,5,2016m10,2016,10,1728,3264,433269,103,82,30,13,11
California,6,amador,5,2016m11,2016,11,1734,3235,425040,136,89,43,15,21
California,6,amador,5,2016m12,2016,12,1715,3207,426292,125,80,45,18,19
California,6,amador,5,2017m1,2017,1,1699,3158,411904,144,79,39,21,16
California,6,amador,5,2017m2,2017,2,1693,3148,413365,113,90,41,17,19
California,6,amador,5,2017m3,2017,3,1699,3123,412990,106,80,37,13,15
California,6,amador,5,2017m4,2017,4,1668,3073,405693,112,56,33,17,13
California,6,amador,5,2017m5,2017,5,1664,3037,399857,109,81,42,20,16
California,6,amador,5,2017m6,2017,6,1651,2997,396063,113,77,37,14,16
California,6,amador,5,2017m7,2017,7,1647,2990,392151,122,89,46,22,16
California,6,amador,5,2017m8,2017,8,1665,3007,396786,128,79,34,13,13
California,6,amador,5,2017m9,2017,9,1650,2990,386323,133,91,29,13,11
California,6,amador,5,2017m10,2017,10,1647,2997,382732,108,75,52,16,27
California,6,amador,5,2017m11,2017,11,1607,2925,371382,115,65,48, , 
California,6,amador,5,2017m12,2017,12,1609,2939,375791,111,77,38, , 
California,6,amador,5,2018m1,2018,1,1609,2915,378707,144,85,43, , 
California,6,amador,5,2018m2,2018,2,1570,2834,363922,112,74,45, , 
California,6,amador,5,2018m3,2018,3,1557,2813,362695,117,73,41,15,21
California,6,amador,5,2018m4,2018,4,1547,2776,352746,126,78,37,14,21
California,6,amador,5,2018m5,2018,5,1581,2842,365156,112,73,56, , 
California,6,amador,5,2018m6,2018,6,1524,2747,352537,122,62,43, , 
California,6,amador,5,2018m7,2018,7,1504,2691,351850,115,73,46,15,25
California,6,amador,5,2018m8,2018,8,1504,2694,351731,153,84,64,20,33
California,6,amador,5,2018m9,2018,9,1478,2610,340830,122,67,50, , 
California,6,amador,5,2018m10,2018,10,1473,2585,339963,139,91,49,13,25
California,6,amador,5,2018m11,2018,11,1461,2573,341986,116,83,42, , 
California,6,amador,5,2018m12,2018,12,1439,2525,333382,110,64,37, , 
California,6,amador,5,2019m1,2019,1,1460,2568,607423,154,94,52,12,33
California,6,amador,5,2019m2,2019,2,266,524,56485,102,66,37, , 
California,6,amador,5,2019m3,2019,3,1428,2559,329413,129,77,50,11,26
California,6,amador,5,2019m4,2019,4,1385,2461,314732,118,68,47, , 
California,6,amador,5,2019m5,2019,5,1381,2456,308535,167,69,57,11,41
California,6,amador,5,2019m6,2019,6,1430,2503,311467,205,109,97,31,54
California,6,amador,5,2019m7,2019,7,1459,2549,314107,192,110,79,17,44
California,6,amador,5,2019m8,2019,8,1475,2575,311354,159,98,68, , 
California,6,amador,5,2019m9,2019,9,1490,2581,309807,154,86,65,12,39
California,6,amador,5,2019m10,2019,10,1490,2561,434084,151,73,79, , 
California,6,amador,5,2019m11,2019,11,1478,2543,320895,132,72,61, , 
California,6,amador,5,2019m12,2019,12,1469,2537,302616,142,88,49, , 
California,6,amador,5,2020m1,2020,1,1494,2586,305508,171,95,59,12,39
California,6,amador,5,2020m2,2020,2,1492,2584,305552,131,79,60, , 
California,6,amador,5,2020m3,2020,3,1482,2531,303908,164,72,51, , 
California,6,amador,5,2020m4,2020,4,1609,2776,488771,211,106,129,19,78
California,6,amador,5,2020m5,2020,5,1690,2927,526419,149,71,100,17,58
California,6,amador,5,2020m6,2020,6,1646,2827,507629,102,32,77,17,44
California,6,amador,5,2020m7,2020,7,1518,2541,463490,109,32,69,16,39
California,6,amador,5,2020m8,2020,8,1489,2503,438002,155,53,52, , 
California,6,amador,5,2020m9,2020,9,1512,2582,495982,159,80,77,12,57
California,6,amador,5,2020m10,2020,10,1497,2573,488549,141,67,83,12,54
California,6,amador,5,2020m11,2020,11,1472,2529,472010,141,65,70, , 
California,6,amador,5,2020m12,2020,12,1462,2517,478471,236,66,100, , 
California,6,amador,5,2021m1,2021,1,1476,2515,475560,212,63,123,20,87
California,6,amador,5,2021m2,2021,2,1503,2563,630611,158,89,115, , 
California,6,amador,5,2021m3,2021,3,1549,2650,576056,158,97,111,13,86
California,6,amador,5,2021m4,2021,4,1560,2639,589662,142,67,79,12,56
California,6,amador,5,2021m5,2021,5,1546,2635,631825,99,59,46, , 
California,6,amador,5,2021m6,2021,6,1516,2581,616640,190,56,85, , 
California,6,amador,5,2021m7,2021,7,1548,2633,632133,212,87,93, , 
California,6,amador,5,2021m8,2021,8,1549,2621,633861,201,71,114, , 
California,6,amador,5,2021m9,2021,9,1560,2677,656627,245,73,93, , 
California,6,amador,5,2021m10,2021,10,1606,2735,738688,208,100,94, , 
California,6,amador,5,2021m11,2021,11,1671,2817,743422,254,120,82, , 
California,6,amador,5,2021m12,2021,12,1721,2912,777629,171,116,122,22,86
California,6,amador,5,2022m1,2022,1,1770,3015,806101,199,114,113,12,74
California,6,amador,5,2022m2,2022,2,1807,3044,802843,174,102,89, , 
California,6,amador,5,2022m3,2022,3,1855,3168,836764,190,108,97,11,65
California,6,amador,5,2022m4,2022,4,1918,3329,867521,178,114,89,17,62
California,6,amador,5,2022m5,2022,5,1967,3413,887808,177,110,63,13,47
California,6,amador,5,2022m6,2022,6,2039,3519,902072,188,107,91,21,61
California,6,amador,5,2022m7,2022,7,2071,3594,914307,206,102,83,16,59
California,6,amador,5,2022m8,2022,8,2157,3716,954284,239,139,101,24,69
California,6,amador,5,2022m9,2022,9,2223,3843,972464,181,110,74,19,48
California,6,amador,5,2022m10,2022,10,2265,3905,1134438,186,97,81,19,55
California,6,amador,5,2022m11,2022,11,2301,3971,1578966,154,101,52,16,31
California,6,amador,5,2022m12,2022,12,2359,4049,1136312,178,102,60,20,31
California,6,amador,5,2023m1,2023,1,2369,4069,1139770,226,99,79,33,33
California,6,amador,5,2023m2,2023,2,2381,4078,1160316,155,102,73,20,43
California,6,amador,5,2023m3,2023,3,2474,4242,1230073,194,145,90,21,56
California,6,amador,5,2023m4,2023,4,2430,4154,1041597, , , , , 
California,6,amador,5,2023m5,2023,5,2469,4190,713125,179,97,65,22,40
California,6,amador,5,2023m6,2023,6,2483,4187,717854,181,102,86,28,48
California,6,amador,5,2023m7,2023,7,2499,4221,726983, , , , , 
California,6,amador,5,2023m8,2023,8,2532,4257,727730,195,122,66,32,27
California,6,amador,5,2023m9,2023,9,2533,4247,728987,173,108,71,34,27
California,6,amador,5,2023m10,2023,10,2552,4274,785506,174,107,76,29,38
California,6,amador,5,2023m11,2023,11,2569,4310,783882,147,94,42, , 
California,6,amador,5,2023m12,2023,12,2599,4346,791636,157,98,50,17,24
California,6,amador,5,2024m1,2024,1,2591,4320,777632,200,109,57,20,27
California,6,amador,5,2024m2,2024,2,2605,4319,771249,128,87,50,23,22
California,6,butte,7,2016m7,2016,7,16974,32165,4374253,1245,701,537,195,281
California,6,butte,7,2016m8,2016,8,16981,32126,4393362,1964,862,636,240,326
California,6,butte,7,2016m9,2016,9,16877,31886,4360935,1655,918,853,283,458
California,6,butte,7,2016m10,2016,10,16869,31819,4375228,1535,847,789,295,391
California,6,butte,7,2016m11,2016,11,16854,31626,4320369,1285,811,659,225,354
California,6,butte,7,2016m12,2016,12,16810,31550,4284497,1239,803,557,193,332
California,6,butte,7,2017m1,2017,1,16579,31092,4210528,1681,779,537,157,321
California,6,butte,7,2017m2,2017,2,16426,30825,4201574,1236,757,589,182,353
California,6,butte,7,2017m3,2017,3,16664,31098,4287151,1360,848,637,214,360
California,6,butte,7,2017m4,2017,4,16636,30944,4246042,1339,756,589,182,350
California,6,butte,7,2017m5,2017,5,16759,31054,4262291,1304,788,599,197,339
California,6,butte,7,2017m6,2017,6,16843,31147,4240053,1294,744,561,185,308
California,6,butte,7,2017m7,2017,7,16651,30937,4189469,1345,728,524,166,284
California,6,butte,7,2017m8,2017,8,16544,30858,4186517,1955,886,752,211,451
California,6,butte,7,2017m9,2017,9,16547,30767,4171400,1615,904,779,76,640
California,6,butte,7,2017m10,2017,10,16660,30804,4185591,1715,896,843,105,648
California,6,butte,7,2017m11,2017,11,16760,30879,4178130,1556,860,725,83,576
California,6,butte,7,2017m12,2017,12,16845,30881,4171801,1291,799,725,76,585
California,6,butte,7,2018m1,2018,1,17012,31060,4204856,1967,915,705,59,567
California,6,butte,7,2018m2,2018,2,16903,30858,4158796,1377,802,712,72,566
California,6,butte,7,2018m3,2018,3,17067,30964,4195629,1401,740,799,83,631
California,6,butte,7,2018m4,2018,4,17093,30912,4170859,1520,778,690,54,546
California,6,butte,7,2018m5,2018,5,17113,30967,4179181,1408,786,711,77,534
California,6,butte,7,2018m6,2018,6,17171,31082,4155713,1386,676,684,79,518
California,6,butte,7,2018m7,2018,7,16757,30508,4066063,1543,682,709,89,520
California,6,butte,7,2018m8,2018,8,16651,30414,4039049,2329,911,909,98,687
California,6,butte,7,2018m9,2018,9,16571,30060,3993320,1945,798,1051,86,835
California,6,butte,7,2018m10,2018,10,16778,30174,4106952,2000,945,1207,112,943
California,6,butte,7,2018m11,2018,11,16661,29849,4305207,1734,733,962,61,791
California,6,butte,7,2018m12,2018,12,16688,29896,5052002,2241,1460,1053,151,737
California,6,butte,7,2019m1,2019,1,16535,29634,7209609,2043,1007,932,83,722
California,6,butte,7,2019m2,2019,2,3060,5760,734685,1198,653,818,50,650
California,6,butte,7,2019m3,2019,3,15900,28424,3827653,1329,722,835,64,689
California,6,butte,7,2019m4,2019,4,15595,27767,3721104,1382,699,674,52,531
California,6,butte,7,2019m5,2019,5,15384,27344,3657554,2418,614,992,319,579
California,6,butte,7,2019m6,2019,6,16161,27945,3652391,2406,868,1264,482,683
California,6,butte,7,2019m7,2019,7,16541,28433,3657217,2057,1242,1045,156,762
California,6,butte,7,2019m8,2019,8,16647,28566,3560725,2381,1015,947,74,763
California,6,butte,7,2019m9,2019,9,16651,28577,3516346,2020,931,1207,103,971
California,6,butte,7,2019m10,2019,10,16868,28654,4010866,1780,993,1215,112,992
California,6,butte,7,2019m11,2019,11,16884,28548,3509728,1375,779,830,90,644
California,6,butte,7,2019m12,2019,12,17033,28688,3500210,1492,759,781,65,629
California,6,butte,7,2020m1,2020,1,17028,28648,3504705,1901,799,751,58,597
California,6,butte,7,2020m2,2020,2,16964,28535,3450730,1420,751,730,79,580
California,6,butte,7,2020m3,2020,3,17053,28521,3492449,1841,789,885,84,708
California,6,butte,7,2020m4,2020,4,18812,31203,5531735,2264,1630,1139,182,774
California,6,butte,7,2020m5,2020,5,19681,32491,5903749,1305,875,859,166,528
California,6,butte,7,2020m6,2020,6,19728,32357,5878955,1195,621,545,86,347
California,6,butte,7,2020m7,2020,7,18528,30236,5418275,1253,574,580,99,361
California,6,butte,7,2020m8,2020,8,17921,29244,5228706,1848,790,609,129,400
California,6,butte,7,2020m9,2020,9,17666,28943,5273479,1575,655,835,86,649
California,6,butte,7,2020m10,2020,10,17108,28177,5538067,1422,756,852,107,657
California,6,butte,7,2020m11,2020,11,16731,27522,5381493,1379,724,577,65,447
California,6,butte,7,2020m12,2020,12,16485,27247,5217258,1872,928,822,65,663
California,6,butte,7,2021m1,2021,1,16623,27476,5196078,1670,802,807,66,644
California,6,butte,7,2021m2,2021,2,16762,27675,6809028,1600,851,789,70,627
California,6,butte,7,2021m3,2021,3,17056,28148,6126068,1419,905,922,90,716
California,6,butte,7,2021m4,2021,4,17110,28272,6214087,1230,747,635,67,499
California,6,butte,7,2021m5,2021,5,17004,28274,6878351,1148,631,490,53,382
California,6,butte,7,2021m6,2021,6,17030,28470,6865061,1790,893,642,56,503
California,6,butte,7,2021m7,2021,7,17247,28791,7024135,1742,870,640,54,464
California,6,butte,7,2021m8,2021,8,17630,29139,7077350,2796,1252,878,111,629
California,6,butte,7,2021m9,2021,9,18340,30085,7353240,2399,1403,892,133,589
California,6,butte,7,2021m10,2021,10,18824,30711,8244396,2073,1311,993,187,633
California,6,butte,7,2021m11,2021,11,19252,31269,8282566,1773,1173,750,173,468
California,6,butte,7,2021m12,2021,12,19518,31614,8417912,1666,1154,784,179,478
California,6,butte,7,2022m1,2022,1,19793,31941,8521829,2200,1309,674,140,397
California,6,butte,7,2022m2,2022,2,19804,32026,8586970,1933,1183,697,164,406
California,6,butte,7,2022m3,2022,3,20140,32528,8630364,1792,1224,857,219,502
California,6,butte,7,2022m4,2022,4,20399,32924,8658247,1642,1070,678,163,403
California,6,butte,7,2022m5,2022,5,20771,33380,8853425,1578,1012,619,147,342
