"citation","section","topic","heading","summary","household_types_affected","civica_relevance","key_quote"
"7 CFR §273.9(b)(1)(iii)","273.9","earned income","Training allowances from vocational/rehab programs","Vocational and rehabilitative training allowances recognized by federal/state/local governments are earned income to the extent they are not a reimbursement. WIA training allowances other than (b)(1)(v) earnings are excluded.","all earned-income households","MEDIUM",""
"7 CFR §273.9(b)(1)(iv)","273.9","earned income","VISTA / Title I Domestic Volunteer Service Act payments","Title I (VISTA, etc.) payments are earned income subject to the 20% earned income deduction, except for the households described in 273.9(c)(10)(iii).","all earned-income households","LOW",""
"7 CFR §273.9(b)(1)(v)","273.9","earned income","On-the-job training under WIA Title I","Earnings from WIA Title I on-the-job training are earned income; this does NOT apply to household members under age 19 under the parental control of another adult member.","students, all earned-income households","MEDIUM",""
"7 CFR §273.9(b)(1)(vi)","273.9","earned income","Educational assistance with a work requirement (above exclusion)","Work-study, assistantships, and fellowships with a work requirement count as earned income to the extent they exceed the 273.9(c)(3) exclusion. Higher Education Act 1087uu work-study is excluded entirely.","students","MEDIUM",""
"7 CFR §273.9(b)(2)","273.9","income inclusion","Unearned income (umbrella)","Non-exhaustive list of unearned income types -- assistance payments, pensions, support/alimony from outside the household, scholarships above exclusion, dividends and interest, and trust withdrawals.","all","HIGH","""Unearned income shall include, but not be limited to"""
"7 CFR §273.9(b)(2)(i)","273.9","income inclusion","Public assistance payments as unearned income","SSI, TANF, state/local GA, and other need-based assistance count as unearned income, including when paid as vendor payments (unless specifically excluded under 273.9(c)(1)). Workfare-type payments conditioned on uncompensated work are also unearned income.","all","HIGH",""
"7 CFR §273.9(b)(2)(ii)","273.9","income inclusion","Annuities, pensions, retirement, UI, worker's comp, foster care, passive rental","Annuities, pensions, retirement benefits, veterans' or disability benefits, worker's or unemployment compensation, social security, strike benefits, foster-care payments for in-household members, and net rental income from property where the household does not actively manage 20+ hr/wk.","elderly/disabled, all","HIGH",""
"7 CFR §273.9(b)(2)(iii)","273.9","income inclusion","Support or alimony from nonhousehold members","Support or alimony paid directly to the household from a nonhousehold member counts as unearned income.","all","HIGH",""
"7 CFR §273.9(b)(2)(iv)","273.9","income inclusion","Scholarships and educational grants above exclusion","Scholarships, grants, deferred education loans, and veterans' educational benefits in excess of the 273.9(c) exclusions count as unearned income.","students","MEDIUM",""
"7 CFR §273.9(b)(2)(v)","273.9","income inclusion","Government-sponsored payments, dividends, interest, royalties","Government-sponsored program payments plus dividends, interest, royalties, and any direct money payments construable as a gain count as unearned income. Catch-all for passive income streams.","all","HIGH","""all other direct money payments from any source which can be construed to be a gain or benefit"""
"7 CFR §273.9(b)(2)(vi)","273.9","income inclusion","Trust fund withdrawals and dividends","Money withdrawn from (or dividends receivable from) excludable trust funds under 273.8(e)(8) is unearned income in the month received unless otherwise exempt under 273.9(c).","all","LOW",""
"7 CFR §273.9(b)(3)","273.9","income inclusion","Income of disqualified or sanctioned members","Income of a member disqualified for intentional program violation or workfare noncompliance is fully attributed to remaining members. Income of members disqualified for SSN noncompliance or ineligible alien status is counted minus a pro rata share for the disqualified member.","all","MEDIUM",""
"7 CFR §273.9(b)(4)","273.9","income inclusion","Sponsor deeming for sponsored aliens","For sponsored-alien households, sponsor and sponsor-spouse income is deemed in accordance with 273.4(c)(2).","all","LOW",""
"7 CFR §273.9(b)(5)","273.9","income inclusion","Items that do NOT count as income","Money withheld or returned to repay a prior overpayment from the same income source is not counted as income (unless excluded under 273.9(c)). TANF-recipient child support that must be assigned to the IV-D agency is not counted.","all","MEDIUM",""
"7 CFR §273.9(b)(5)(i)","273.9","income inclusion","Overpayment recoupment from same source","Money withheld or returned to repay a prior overpayment from the same income source is not income, provided the original overpayment was not itself excludable.","all","MEDIUM",""
"7 CFR §273.9(b)(5)(ii)","273.9","income inclusion","Child support assigned to IV-D agency","Child support that TANF recipients must transfer to the IV-D agency to maintain TANF eligibility is not counted as income.","all","LOW",""
"7 CFR §273.9(c)","273.9","income exclusion","Income exclusions (closed list)","Establishes the closed list of income exclusions -- no exclusions are permitted beyond those enumerated here. This is the master exclusion rule.","all","HIGH","""Only the following items shall be excluded from household income and no other income shall be excluded"""
"7 CFR §273.9(c)(1)","273.9","income exclusion","In-kind benefits and certain vendor payments","Non-monetary gains (in-kind benefits such as meals, clothing, housing, garden produce) are excluded. Vendor payments (paid to a third party on the household's behalf) are excluded or counted depending on the rules in (c)(1)(i)-(vii).","all","HIGH",""
"7 CFR §273.9(c)(1)(i)","273.9","income exclusion","Public assistance (PA) vendor payments","PA vendor payments are counted as income unless they are for medical assistance, child care, energy assistance, migrant emergency assistance, housing-authority assistance, or qualifying emergency/special assistance.","all","MEDIUM",""
"7 CFR §273.9(c)(1)(i)(A)","273.9","income exclusion","Medical-assistance vendor payments excluded","PA vendor payments for medical assistance are excluded from income.","elderly/disabled, all","LOW",""
"7 CFR §273.9(c)(1)(i)(B)","273.9","income exclusion","Child-care vendor payments excluded","PA vendor payments for child care assistance are excluded from income.","all","LOW",""
"7 CFR §273.9(c)(1)(i)(C)","273.9","income exclusion","Energy assistance vendor payments excluded","PA vendor payments for energy assistance (as defined in 273.9(c)(11)) are excluded from income.","all","LOW",""
"7 CFR §273.9(c)(1)(i)(D)","273.9","income exclusion","Migrant/seasonal farmworker emergency assistance vendor payments excluded","PA emergency assistance -- including housing and transportation -- paid to a third party for migrant or seasonal farmworker households while in the job stream is excluded.","self-employed (farm), gig/contract workers","MEDIUM",""
"7 CFR §273.9(c)(1)(i)(E)","273.9","income exclusion","Housing-authority assistance excluded","Housing assistance payments made through a State or local housing authority are excluded from income.","all","LOW",""
"7 CFR §273.9(c)(1)(i)(F)","273.9","income exclusion","Emergency and special assistance (vendor) excluded","PA vendor payments that are over-and-above the normal grant -- emergencies, one-off special needs -- are excluded; State agencies must apply to FNS Regional Office when classification is unclear.","all","LOW",""
"7 CFR §273.9(c)(1)(ii)","273.9","income exclusion","General assistance (GA) vendor payments","GA vendor payments are excluded from income except for housing-related GA, which is counted unless it falls into one of the five carve-outs (energy, housing-authority, migrant emergency, emergency/special, or no-cash-GA states).","all","LOW",""
"7 CFR §273.9(c)(1)(iii)","273.9","income exclusion","HUD vendor payments (rent / mortgage)","Rent or mortgage payments made by HUD directly to landlords or mortgagees are excluded from income.","all","MEDIUM",""
"7 CFR §273.9(c)(1)(iv)","273.9","income exclusion","Educational assistance vendor payments","Educational assistance paid to a third party for the household's living expenses is treated the same as if paid directly to the household.","students","LOW",""
"7 CFR §273.9(c)(1)(v)","273.9","income exclusion","Vendor reimbursements","Reimbursements made as vendor payments are excluded on the same basis as cash reimbursements under 273.9(c)(5).","all","LOW",""
"7 CFR §273.9(c)(1)(vi)","273.9","income exclusion","Demonstration project vendor-to-cash conversions","In-kind or vendor payments converted to direct cash payments under an authorized federal demonstration or waiver are excluded from income.","all","LOW",""
"7 CFR §273.9(c)(1)(vii)","273.9","income exclusion","Other third-party payments; wage garnishment treatment","Money legally owed to the household but diverted by the payer to a third party counts as income; money the payer pays to a third party that was never owed to the household is excluded. Critical for garnishment, voluntary court-ordered direct-pay support, and friend/relative rent payments.","all earned-income households, gig/contract workers, tipped workers, cash-paid workers","HIGH","""moneys legally obligated and otherwise payable to the household which are diverted by the provider of the payment to a third party for a household expense shall be counted as income"""
"7 CFR §273.9(c)(2)","273.9","income exclusion","Infrequent or irregular income (de minimis)","Income received too infrequently or irregularly to be reasonably anticipated is excluded, but not more than $30 per quarter.","gig/contract workers, tipped workers, cash-paid workers","HIGH","""received too infrequently or irregularly to be reasonably anticipated, but not in excess of $30 in a quarter"""
"7 CFR §273.9(c)(3)","273.9","income exclusion","Educational assistance exclusion (umbrella)","Grants, scholarships, fellowships, work-study, deferred educational loans, and veterans' educational benefits are excluded if they meet the conditions in (c)(3)(ii)-(iv).","students","MEDIUM",""
"7 CFR §273.9(c)(3)(i)","273.9","income exclusion","Categories of excludable educational assistance","Identifies the categories of educational assistance eligible for exclusion: grants, scholarships, fellowships, work-study, deferred-payment educational loans, veterans' educational benefits, and the like.","students","LOW",""
"7 CFR §273.9(c)(3)(ii)","273.9","income exclusion","Conditions for educational exclusion (source, school type, earmarked use)","To be excluded, educational assistance must be (A) received under specified federal authorities or (B) awarded to a student at a qualifying post-secondary or vocational institution, and (C) earmarked for tuition, fees, books, supplies, transportation, miscellaneous personal expenses, dependent care, or origination fees/insurance -- not room and board.","students","MEDIUM",""
"7 CFR §273.9(c)(3)(iii)","273.9","income exclusion","Timing of educational exclusions","Educational exclusions are tied to the period the educational income is intended to cover, regardless of when actually received. Unearned educational income is exhausted first before earned educational income.","students","LOW",""
"7 CFR §273.9(c)(3)(iv)","273.9","income exclusion","Cap on educational exclusion per individual","Total educational exclusions for an individual cannot exceed that individual's total qualifying educational income.","students","LOW",""
"7 CFR §273.9(c)(3)(v)","273.9","income exclusion","State option: align educational exclusions with State Medicaid","State agency option: exclude additional educational assistance that must be excluded under State Medicaid rules. State must elect this in its State Plan of Operation. STATE-OPTION JOIN.","students","MEDIUM","""At its option, the State agency may exclude any educational assistance that must be excluded under its State Medicaid rules"""
"7 CFR §273.9(c)(4)","273.9","income exclusion","Loans excluded","All loans -- private or commercial -- are excluded from income. Repayment must begin more than 60 days after receipt for a loan to qualify as deferred.","all","MEDIUM","""All loans, including loans from private individuals as well as commercial institutions"""
"7 CFR §273.9(c)(5)","273.9","income exclusion","Reimbursements for past or future expenses","Reimbursements (cash or flat allowance) for an identified expense other than normal living expenses are excluded to the extent they do not exceed actual expenses. Reimbursements for normal living expenses (rent, food at home, personal clothing) are NOT excluded.","gig/contract workers, all earned-income households","HIGH","""Reimbursements for past or future expenses, to the extent they do not exceed actual expenses, and do not represent a gain or benefit to the household"""
"7 CFR §273.9(c)(5)(i)(A)","273.9","income exclusion","Job/training travel and per diem reimbursements","Reimbursements (or flat allowances) for job- or training-related travel, per diem, uniforms, and transportation are excluded. Migrant workers' travel reimbursements are also excluded. Civica relevance: rideshare/delivery worker per-mile reimbursements may attach here.","gig/contract workers, all earned-income households","HIGH","""Reimbursements or flat allowances ... for job- or training-related expenses such as travel, per diem, uniforms, and transportation"""
"7 CFR §273.9(c)(5)(i)(B)","273.9","income exclusion","Volunteer out-of-pocket reimbursements","Reimbursements to volunteers for out-of-pocket expenses incurred in the course of volunteer work are excluded.","all","LOW",""
"7 CFR §273.9(c)(5)(i)(C)","273.9","income exclusion","Medical / dependent care reimbursements","Medical or dependent-care reimbursements are excluded from income.","elderly/disabled, all","LOW",""
"7 CFR §273.9(c)(5)(i)(D)","273.9","income exclusion","Title XX SSA reimbursements","Reimbursements received by households to pay for services provided by Title XX of the Social Security Act are excluded.","all","LOW",""
"7 CFR §273.9(c)(5)(i)(E)","273.9","income exclusion","School clothing allowance","An annual school-clothing allowance for children entering or returning to school/daycare is excluded, provided the State agency does not reduce the month's TANF payment.","all","LOW",""
"7 CFR §273.9(c)(5)(i)(F)","273.9","income exclusion","E&T participation expense reimbursements","Reimbursements made under 273.7(d)(3) for expenses necessary for participation in an E&T education component are excluded.","all","LOW",""
"7 CFR §273.9(c)(5)(ii)","273.9","income exclusion","Items NOT excludable as reimbursements","Title IV-A SSA portions attributable to work-related or child-care adjustments, and educational assistance for normal living expenses (room and board), are NOT excludable as reimbursements.","students, all","LOW",""
"7 CFR §273.9(c)(6)","273.9","income exclusion","Care and maintenance of a third-party nonhousehold beneficiary","Money used for the care and maintenance of a third-party beneficiary who is not a household member is excluded. Mixed-beneficiary payments are prorated when the nonhousehold portion is not identifiable.","all","MEDIUM",""
"7 CFR §273.9(c)(7)","273.9","income exclusion","Earned income of minors in school","Earned income of household members under 18 who are elementary or secondary school students (including GED, home-school) and who live with a parent or under parental control is excluded. Includes temporary breaks in school attendance.","students","HIGH","""The earned income ... of any household member who is under age 18, who is an elementary or secondary school student"""
"7 CFR §273.9(c)(8)","273.9","income exclusion","Nonrecurring lump-sum payments","Nonrecurring lump-sum payments -- tax refunds, retroactive SSI/SS/RR benefits, insurance settlements, security-deposit refunds, TANF diversion payments -- are excluded from income; they are counted as resources beginning the month received.","all","HIGH","""Money received in the form of a nonrecurring lump-sum payment"""
"7 CFR §273.9(c)(9)","273.9","self-employment income","Cost of producing self-employment income","The cost of producing self-employment income is excluded from income. Computation procedures are in 273.11. This is the central authority for Civica's gig/self-employment net-income calculations.","gig/contract workers, self-employed (non-farm), self-employed (farm)","HIGH","""The cost of producing self-employment income."""
"7 CFR §273.9(c)(10)","273.9","income exclusion","Federal statutory income exclusions (umbrella)","Income that any other federal statute mandates be excluded from SNAP eligibility determinations. Subsections (i)-(x) enumerate the specific federal laws.","all","MEDIUM",""
"7 CFR §273.9(c)(10)(i)","273.9","income exclusion","Uniform Relocation Act reimbursements","Reimbursements under the Uniform Relocation Assistance and Real Property Acquisition Policy Act of 1970 are excluded.","all","LOW",""
"7 CFR §273.9(c)(10)(ii)","273.9","income exclusion","Alaska Native Claims Settlement Act payments","Payments under the Alaska Native Claims Settlement Act are excluded.","all","LOW",""
"7 CFR §273.9(c)(10)(iii)","273.9","income exclusion","Title II Domestic Volunteer Service Act / VISTA","Title II Domestic Volunteer Service Act payments (RSVP, Foster Grandparents, etc.) are excluded. Title I (VISTA, UYA) payments are excluded only for participants who were receiving SNAP or PA when they joined the program; otherwise treated as earned income.","all","LOW",""
"7 CFR §273.9(c)(10)(iv)","273.9","income exclusion","Indian submarginal-land trust income","Income from certain submarginal land held in trust for Indian tribes is excluded.","all","LOW",""
"7 CFR §273.9(c)(10)(v)","273.9","income exclusion","WIA 1998 payments","Payments and reimbursements to participants in Workforce Investment Act programs are excluded, except those provided for in 273.9(b)(1)(v).","all","LOW",""
"7 CFR §273.9(c)(10)(vi)","273.9","income exclusion","Grand River Band of Ottawa Indians","Income from disposition of funds to the Grand River Band of Ottawa Indians is excluded.","all","LOW",""
"7 CFR §273.9(c)(10)(vii)","273.9","income exclusion","Pre-1980 EITC (historical)","EITC payments received before January 1, 1980 (per Pub. L. 95-600) are excluded -- historical provision.","all","LOW",""
"7 CFR §273.9(c)(10)(viii)","273.9","income exclusion","Indian Claims Commission payments (Yakima / Mescalero)","Indian Claims Commission payments to the Confederated Tribes and Bands of the Yakima Indian Nation and the Apache Tribe of the Mescalero Reservation are excluded.","all","LOW",""
"7 CFR §273.9(c)(10)(ix)","273.9","income exclusion","Maine Indian Claims Settlement payments","Payments to the Passamaquoddy Tribe and the Penobscot Nation under the Maine Indian Claims Settlement Act of 1980 are excluded.","all","LOW",""
"7 CFR §273.9(c)(10)(x)","273.9","income exclusion","Navajo/Hopi relocation assistance","Relocation assistance payments to members of the Navajo and Hopi Tribes under Pub. L. 93-531 are excluded.","all","LOW",""
"7 CFR §273.9(c)(11)","273.9","income exclusion","Energy assistance","Energy-assistance payments and weatherization/emergency furnace repair payments are excluded.","all","MEDIUM",""
"7 CFR §273.9(c)(11)(i)","273.9","income exclusion","Federal energy assistance payments","Federal energy-assistance payments (including HUD and Rural Housing Service utility reimbursements) are excluded -- but not Title IV-A SSA payments.","all","LOW",""
"7 CFR §273.9(c)(11)(ii)","273.9","income exclusion","One-time weatherization / emergency heating payment","A one-time, as-needed payment under federal or state law for weatherization or emergency repair/replacement of an unsafe or inoperative heating or cooling device is excluded.","all","LOW",""
"7 CFR §273.9(c)(12)","273.9","income exclusion","Cash charitable donations under $300/quarter","Cash donations based on need from one or more private nonprofit charities, not to exceed $300 in a federal fiscal-year quarter, are excluded.","all","MEDIUM","""Cash donations based on need ... but not to exceed $300 in a Federal fiscal year quarter"""
"7 CFR §273.9(c)(13)","273.9","income exclusion","Earned Income Tax Credit payments","EITC payments -- whether lump sum or advance under 3507 IRC -- are excluded from income.","all earned-income households, tipped workers, gig/contract workers","HIGH","""Earned income tax credit payments received either as a lump sum or payments under section 3507 of the Internal Revenue Code"""
"7 CFR §273.9(c)(14)","273.9","income exclusion","E&T participant cost payments","Payments to E&T participants under 273.7(d)(3) for reasonably necessary costs (dependent care, transportation, uniforms, books, etc.) are excluded. Meals away from home are not included.","all","LOW",""
"7 CFR §273.9(c)(15)","273.9","income exclusion","Governmental foster care payments (boarder treatment)","Governmental foster-care payments are excluded from income when the foster individual is treated as a boarder per 273.1(c).","all","LOW",""
"7 CFR §273.9(c)(16)","273.9","income exclusion","SSI PASS plan income","Income of an SSI recipient necessary for a PASS (Plan for Achieving Self-Support) approved under SSA is excluded.","elderly/disabled","LOW",""
"7 CFR §273.9(c)(17)","273.9","income exclusion","Legally obligated child support paid out","Legally obligated child support payments paid by a household member to or for a nonhousehold member (including third-party vendor payments and arrears) are excluded from income. State agencies may opt to provide a deduction under 273.9(d)(5) instead. STATE-OPTION JOIN.","all","HIGH","""Legally obligated child support payments paid by a household member to or for a nonhousehold member"""
"7 CFR §273.9(c)(18)","273.9","income exclusion","State option: complementary assistance program payments","State agency option: exclude State complementary assistance program payments that are excluded for Medicaid 1931 purposes. STATE-OPTION JOIN.","all","MEDIUM",""
"7 CFR §273.9(c)(19)","273.9","income exclusion","State option: TANF/Medicaid-aligned income exclusions","State agency option: exclude types of income that the State excludes when determining TANF or Medicaid 1931 eligibility, but only for the same amount. Wages, self-employment income, SSA benefits (Title I/II/IV/X/XIV/XVI), government payments, workers' comp, child support, alimony, pensions, disability/survivor benefits, and excludable-trust withdrawals may NOT be excluded under this option. STATE-OPTION JOIN.","all","HIGH","""At the State agency option, any types of income that the State agency excludes when determining eligibility or benefits for TANF cash assistance"""
"7 CFR §273.9(c)(19)(i)","273.9","income exclusion","Wages/salaries cannot be excluded under TANF/Medicaid alignment option","Wages and salaries cannot be excluded under the 273.9(c)(19) State option.","all earned-income households","MEDIUM",""
"7 CFR §273.9(c)(19)(ii)","273.9","income exclusion","Self-employment cannot be excluded under TANF/Medicaid alignment option","Gross self-employment income (including types referenced in 273.9(b)(1)(ii)) cannot be excluded under the 273.9(c)(19) State option. Self-employment monthly income must be calculated per 273.11(a)(2).","gig/contract workers, self-employed (non-farm), self-employed (farm)","HIGH","""Determining monthly income from self-employment must be calculated in accordance with 273.11(a)(2)"""
"7 CFR §273.9(c)(19)(iii)","273.9","income exclusion","SSA Title I/II/IV/X/XIV/XVI benefits cannot be excluded","SSI, TANF, foster care, adoption payments from government sources cannot be excluded under the 273.9(c)(19) State option.","elderly/disabled, all","LOW",""
"7 CFR §273.9(c)(19)(iv)","273.9","income exclusion","Regular government payments cannot be excluded","Regular payments from a government source -- including intermediary payments funded from a government source -- cannot be excluded under the 273.9(c)(19) State option.","all","LOW",""
"7 CFR §273.9(c)(19)(v)","273.9","income exclusion","Worker's comp cannot be excluded","Worker's compensation cannot be excluded under the 273.9(c)(19) State option.","all earned-income households","LOW",""
"7 CFR §273.9(c)(19)(vi)","273.9","income exclusion","Child support / alimony from nonhousehold members cannot be excluded","Child support and support/alimony from nonhousehold members cannot be excluded under the 273.9(c)(19) State option.","all","LOW",""
"7 CFR §273.9(c)(19)(vii)","273.9","income exclusion","Annuities / pensions / retirement cannot be excluded","Annuities, pensions, and retirement benefits cannot be excluded under the 273.9(c)(19) State option.","elderly/disabled","LOW",""
"7 CFR §273.9(c)(19)(viii)","273.9","income exclusion","Disability / OASI cannot be excluded","Disability benefits and old-age or survivor benefits cannot be excluded under the 273.9(c)(19) State option.","elderly/disabled","LOW",""
"7 CFR §273.9(c)(19)(ix)","273.9","income exclusion","Excludable-trust withdrawals cannot be re-excluded","Money withdrawn from excludable-resource trust funds (273.8(e)(8)) cannot be excluded under the 273.9(c)(19) State option.","all","LOW",""
"7 CFR §273.9(c)(20)","273.9","income exclusion","Combat-zone military pay supplements","Income received by U.S. Armed Forces members under Chapter 5 of Title 37 USC is excluded if it is (i) above basic pay, (ii) tied to deployment/service in a designated combat zone, and (iii) not received before deployment.","all","MEDIUM","""Received as a result of the service member deployment to or service in an area designated as a combat zone"""
"7 CFR §273.9(d)","273.9","deductions (umbrella)","Income deductions","Establishes the closed list of allowable deductions: standard deduction, earned income deduction, excess medical, dependent care, optional child support, and shelter (including homeless shelter deduction and excess shelter).","all","HIGH","""Deductions shall be allowed only for the following household expenses"""
"7 CFR §273.9(d)(1)","273.9","standard deduction","Standard deduction (umbrella)","Standard deduction subtracted from gross income for every eligible household, with size- and jurisdiction-specific amounts and an annual CPI-indexed floor.","all","HIGH",""
"7 CFR §273.9(d)(1)(i)","273.9","standard deduction","Standard deduction -- 48 states, DC, Alaska, Hawaii, USVI","Standard deduction equals 8.31% of the monthly net income eligibility standard, by household size 1-6 (capped at the size-6 amount for larger households), rounded up to whole dollars.","all","HIGH","""8.31 percent of the monthly net income eligibility standard"""
"7 CFR §273.9(d)(1)(ii)","273.9","standard deduction","Standard deduction -- Guam","Guam's standard deduction is 8.31% of double the 48-state monthly net income standard for sizes 1-6, capped at size 6.","all","LOW",""
"7 CFR §273.9(d)(1)(iii)","273.9","standard deduction","Minimum standard deduction floor","Standard deduction may not fall below FY 2009 floors of $144 / $246 / $203 / $289 / $127 for 48 states / Alaska / Hawaii / Guam / USVI respectively; thereafter adjusted annually for non-food CPI.","all","MEDIUM",""
"7 CFR §273.9(d)(2)","273.9","earned income deduction","Earned income deduction -- 20%","Twenty percent of gross earned income is deducted. Excluded earnings under 273.9(c) are not included in the deduction base, except that earnings used to pay child support excluded under 273.9(c)(17) ARE included in the deduction base.","all earned-income households, tipped workers, gig/contract workers","HIGH","""Twenty percent of gross earned income"""
"7 CFR §273.9(d)(3)","273.9","medical deduction","Excess medical deduction (elderly/disabled)","For elderly or disabled household members (per 271.2), medical expenses above $35/month are deductible. Spouses or dependents receiving SSI benefits are not eligible; presumptive-eligibility SSI recipients are.","elderly/disabled","HIGH","""That portion of medical expenses in excess of $35 per month, excluding special diets, incurred by any household member who is elderly or disabled"""
"7 CFR §273.9(d)(3)(i)","273.9","medical deduction","Medical and dental care","Medical and dental care -- including psychotherapy and rehabilitation services from licensed practitioners -- is a deductible medical expense.","elderly/disabled","MEDIUM",""
"7 CFR §273.9(d)(3)(ii)","273.9","medical deduction","Hospitalization and nursing care","Hospitalization, outpatient treatment, nursing care, and nursing home care (including payment for a former household member) are deductible.","elderly/disabled","MEDIUM",""
"7 CFR §273.9(d)(3)(iii)","273.9","medical deduction","Prescription drugs and OTC medication","Prescription drugs, plus OTC medications (including insulin) when approved by a licensed practitioner or qualified health professional, are deductible. Schedule I substances are not deductible.","elderly/disabled","MEDIUM",""
"7 CFR §273.9(d)(3)(iv)","273.9","medical deduction","Health insurance premiums","Health and hospitalization insurance premiums are deductible. Death/dismemberment lump-sum policies and disability-income policies are not deductible.","elderly/disabled","MEDIUM",""
"7 CFR §273.9(d)(3)(v)","273.9","medical deduction","Medicare premiums and Medicaid cost-sharing","Medicare Title XVIII premiums and any Medicaid cost-sharing or spend-down expenses are deductible.","elderly/disabled","MEDIUM",""
"7 CFR §273.9(d)(3)(vi)","273.9","medical deduction","Dentures, hearing aids, prosthetics","Dentures, hearing aids, and prosthetics are deductible.","elderly/disabled","LOW",""
"7 CFR §273.9(d)(3)(vii)","273.9","medical deduction","Service animals","Securing and maintaining a seeing-eye or hearing dog -- including dog food and veterinary bills -- is deductible.","elderly/disabled","LOW",""
"7 CFR §273.9(d)(3)(viii)","273.9","medical deduction","Prescription eyeglasses","Eyeglasses prescribed by a physician or optometrist are deductible.","elderly/disabled","LOW",""
"7 CFR §273.9(d)(3)(ix)","273.9","medical deduction","Medical transportation and lodging","Reasonable transportation and lodging costs to obtain medical treatment are deductible.","elderly/disabled","MEDIUM",""
"7 CFR §273.9(d)(3)(x)","273.9","medical deduction","Attendant care / home health aide","Costs of maintaining an attendant, homemaker, home health aide, child-care services, or housekeeper necessary due to age, infirmity, or illness are deductible, plus a one-person-allotment-equivalent meal deduction if the household furnishes most of the attendant's meals. Attendant-care costs cannot be deducted under both medical and dependent care.","elderly/disabled","MEDIUM",""
"7 CFR §273.9(d)(4)","273.9","dependent care deduction","Dependent care deduction","Dependent care payments are deductible when necessary for a member to seek/accept/continue employment, comply with E&T requirements, or attend training/education preparatory to employment. Covers children under 18 or incapacitated adults; relative-provided care is allowed if the relative is not in the same SNAP household. Cannot be double-counted with 273.9(d)(3)(x) medical attendant care.","all earned-income households","HIGH","""Payments for dependent care when necessary for a household member to search for, accept or continue employment"""
"7 CFR §273.9(d)(4)(i)","273.9","dependent care deduction","Care provider/facility costs","Costs of care given by an individual provider or care facility are deductible dependent-care expenses.","all earned-income households","MEDIUM",""
"7 CFR §273.9(d)(4)(ii)","273.9","dependent care deduction","Transportation to care","Transportation costs to and from the care facility are deductible.","all earned-income households","MEDIUM",""
